4/9/2020,CC-2020-01765,Code Complaint,junk vehicles in the yard,"1456 CHILDRESS DR SW, ATLANTA GA 30311",Complied,Property Maintenance,1456 CHILDRESS DR SW,1456,CHILESS ,DR,SW
12/7/2020,CC-2020-06101,Code Complaint,Several junk vehicles parked on the grass,"1456 CONNALLY AVE SW, ATLANTA GA 30310",Notice Mailed,Property Maintenance,1456 CONNALLY AVE SW,1456,CONNALLY ,AVE,SW
2/10/2020,CC-2020-00828,Code Complaint,"The new owner request that the property be viewed, it is currently a vacant lot.And the owner is requesting building permits and placard removal.-TA","1456 HARDEE ST NE, ATLANTA GA 30307",No Violation Found,Property Maintenance,1456 HARDEE ST NE,1456,HARDEE ,ST,NE
4/29/2020,CC-2020-02044,Code Complaint,"Junk, trash, and debris. Overgrown grass and trees over 12""....NHibbler","1456 LAVENDER DR NW, ATLANTA GA 30314",Citation Initiated,Property Maintenance,1456 LAVENDER DR NW,1456,LAVENDER ,DR,NW
2/17/2021,CC-2021-00616,Code Complaint,Multiple vehicles parked on the grass PER M. CULBRETH-EDAVIS,"1456 LYNFORD DR SW, ATLANTA GA 30310",Notice Mailed,Property Maintenance,1456 LYNFORD DR SW,1456,LYNFORD ,DR,SW
2/3/2020,CC-2020-00664,Code Complaint,Overgrowth of shrubbery / Parking on the grass,"1456 LYNFORD DR SW, ATLANTA GA 30310",Complied,Property Maintenance,1456 LYNFORD DR SW,1456,LYNFORD ,DR,SW
2/9/2021,CC-2021-00521,Code Complaint,Ms. Robinson reporting this property is invested with rodents that are coming over to her yard. This property is vacant.There is overgrowth of trees coming over to the neighbor's home. There is tarp on the home that has been there for a  while. There is trash and debris as well. SR#:1195043951,"1457 EASON ST NW, ATLANTA GA 30314",Notice Mailed,Property Maintenance,1457 EASON ST NW,1457,EASON ,ST,NW
6/17/2020,CC-2020-02874,Code Complaint,overgrowth in rear and fallen tree,"1457 MILL ACRES DR SW, ATLANTA GA 30311",Notice Mailed,Property Maintenance,1457 MILL ACRES DR SW,1457,MILL ACRES ,DR,SW
12/7/2020,CC-2020-06117,Code Complaint,Vacant Lot : Overgrowth  Junk Trash and debris,"1458 JOSEPH E BOONE BLVD NW, ATLANTA GA 30314",Research Return to Clerical,Property Maintenance,1458 JOSEPH E BOONE BLVD NW,1458,JOSEPH E BOONE ,BLVD,NW
1/3/2020,CC-2020-00043,Code Complaint,"Santana Joiner called to report code enforcement violation hot water tank leaking, light fixture broken, floor boards sinking inceiling leaking","1458 OLIVE ST SW, ATLANTA GA 30310",Complied,Property Maintenance,1458 OLIVE ST SW,1458,OLIVE ,ST,SW
8/31/2020,CC-2020-04367,Code Complaint,"Id like to report, ANONYMOUSLY, a backyard that is full of trash, overgrowth and 2 puppies living in it. They are sweet dogs too. They have a ""fence"" and a doghouse, but in filth and trash. Nothing cushiony or clean for them to lie on plus they are puppies. They need to run and play and be socialized. Not confined in this mess of mud and debris.","1460 HARTFORD AVE SW, ATLANTA GA 30310",Complied,Property Maintenance,1460 HARTFORD AVE SW,1460,HARTFORD ,AVE,SW
12/4/2020,CC-2020-06085,Code Complaint,Junk tires in front yard; no house numbers posted on dwelling; overgrowth in rear; vacant dwelling boarded in excess of six months; vacant property not boarded to minimum specifications,"1461 RYAN ST SW, ATLANTA GA 30310",Notice Mailed,Property Maintenance,1461 RYAN ST SW,1461,RYAN ,ST,SW
