,1225 CAPITAL DR
,1317 GREENWAY PARK DR
,2012 CLUBRIDGE DR
,2119 SPRINGWOOD
,2137 SPRINGWOOD
"1000 CAMBRIDGE DR, Carrollton, TX 75007",1000 CAMBRIDGE DR
"1000 CROWLEY DR, Carrollton, TX 75006",1000 CROWLEY DR
"1000 STAFFORDSHIRE DR, Carrollton, TX 75007",1000 STAFFORDSHIRE DR
"1001 NOBLE AVE, Carrollton, TX 75006",1001 NOBLE AVE
"1001 RIO GRANDE CT, Carrollton, TX 75007",1001 RIO GRANDE CT
"1001 ROSEWOOD PL, Carrollton, TX 75006",1001 ROSEWOOD PL
"1002 HERSEY DR, Carrollton, TX 75006",1002 HERSEY DR
"1002 NOBLE AVE, Carrollton, TX 75006",1002 NOBLE AVE
"1002 NOTTINGHAM DR, Carrollton, TX 75007",1002 NOTTINGHAM DR
"1002 S PERRY RD, Carrollton, TX 75006",1002 S PERRY RD
"1003 NOBLE AVE, Carrollton, TX 75006",1003 NOBLE AVE
"1003 STAFFORDSHIRE DR, Carrollton, TX 75007",1003 STAFFORDSHIRE DR
"1004 HAMPSHIRE LN, Carrollton, TX 75007",1004 HAMPSHIRE LN
"1004 VESTAL LN, Carrollton, TX 75007",1004 VESTAL LN
"1005 HUNTERS CREEK DR, Carrollton, TX 75007",1005 HUNTERS CREEK DR
"1005 NOBLE AVE, Carrollton, TX 75006",1005 NOBLE AVE
"1010 RIDGEVIEW, Carrollton, TX 75007",1010 RIDGEVIEW
"1012 CLINTON ST, Carrollton, TX 75007",1012 CLINTON ST
"1012 MAGNOLIA DR, Carrollton, TX 75007",1012 MAGNOLIA DR
"1012 STAFFORDSHIRE DR, Carrollton, TX 75007",1012 STAFFORDSHIRE DR
"1013 E BELT LINE RD, Carrollton, TX 75006",1013 E BELT LINE RD
"1013 ROSEWOOD PL, Carrollton, TX 75006",1013 ROSEWOOD PL
"1014 ALAMEDA DR, Carrollton, TX 75007",1014 ALAMEDA DR
"1015 MAGNOLIA DR, Carrollton, TX 75007",1015 MAGNOLIA DR
"1019 NOTTINGHAM DR, Carrollton, TX 75007",1019 NOTTINGHAM DR
"1019 OXFORDSHIRE DR, Carrollton, TX 75007",1019 OXFORDSHIRE DR
"1020 STAFFORDSHIRE DR, Carrollton, TX 75007",1020 STAFFORDSHIRE DR
"1021 MAGNOLIA DR, Carrollton, TX 75007",1021 MAGNOLIA DR
"1023 CLINTON ST, Carrollton, TX 75007",1023 CLINTON ST
"1023 MAGNOLIA DR, Carrollton, TX 75007",1023 MAGNOLIA DR
