311 Case Number,Date Opened,Status,Case Type,Sub Type,Service Address,Asset: Asset Name
423219,8/24/2020,Closed on Call,Code Enforcement,Tall Grass ? Code Enforcement,"100 ABORFIELD CT, CARY 275132819",
340365,2/17/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"100 BRIGHT ANGEL DR, CARY 275135308",
529816,4/12/2021,Closed,Code Enforcement,Street Cleaning ? Code Enforcement,"100 BROMFIELD WAY, CARY 275196655",
370520,4/30/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,"100 CASTLEWOOD DR, CARY 275115510",
487512,1/10/2021,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"100 CAVENDISH DR, CARY 275134935",
393157,6/20/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"100 CHERTSEY CT, CARY 275198366",
402582,7/11/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"100 CHERTSEY CT, CARY 275198366",
377338,5/13/2020,Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,"100 DALESHIRE DR, CARY 275195177",
463599,11/14/2020,Closed,Public Works,Code Enforcement Inquiry,"100 FAIRCHILD DOWNS PL, CARY 275186335",
468038,11/24/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"100 GLADE PARK RD, CARY 275188683",
491661,1/21/2021,Closed,Public Works,Code Enforcement Inquiry,"100 HIGHLAND COMMONS CT, CARY 275116730",
337071,2/7/2020,Closed on Call,Public Works,Code Enforcement Inquiry,"100 HIGHLAND COMMONS CT, CARY 275116732",
352769,3/16/2020,Closed,Public Works,Code Enforcement Inquiry,"100 KALMIA LN, CARY 275189157",
488906,1/13/2021,Closed,Code Enforcement,Cart Roll?In ? Code Enforcement,"100 LAUREL BRANCH DR, CARY 275135360",
503060,2/17/2021,Closed,Code Enforcement,Cart Roll?In ? Code Enforcement,"100 LAUREL BRANCH DR, CARY 275135360",
508756,3/2/2021,Closed,Code Enforcement,Cart Roll?In ? Code Enforcement,"100 LAUREL BRANCH DR, CARY 275135360",
350997,3/11/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"100 MALTLAND DR, CARY 275189011",
370142,4/30/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"100 MCCLEARY CT, CARY 27513",
349277,3/6/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"100 MORRISVILLE SQUARE WAY, MORRISVILLE 27560",
415067,8/7/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"100 MUIR WOODS DR, CARY 275134760",
431415,9/11/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"100 PARK JAMES WAY, CARY 275186822",
468157,11/24/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"100 PENNY LN, CARY 275114026",
343570,2/23/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"100 RAVENSTONE DR, CARY 275189058",
487563,1/11/2021,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"100 RAVENSTONE DR, CARY 275189058",
492621,1/22/2021,Completed,Code Enforcement,Dumping ? Code Enforcement,"100 SCOTS COVE LN, CARY 275189134",
352614,3/16/2020,Closed on Call,Public Works,Code Enforcement Inquiry,"100 SHADY MEADOW CIR, CARY 275139103",
412488,8/1/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,"100 SHIRLEY DR, CARY 275113848",
343579,2/23/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"100 SOLSTICE CIR, CARY 275135209",
392468,6/18/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"100 SPRING NEEDLE CT, CARY 275133500",
422325,8/22/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"100 STEEP BANK DR, CARY 275188954",
448041,10/15/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"100 TRAVILAH OAKS LN, CARY 275182243",
455819,11/1/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"100 TRAVILAH OAKS LN, CARY 275182243",
465974,11/19/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"100 TRAVILAH OAKS LN, CARY 275182243",
474075,12/8/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"100 TRAVILAH OAKS LN, CARY 275182243",
363339,4/13/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"100 TURQUOISE CREEK DR, CARY 275135616",
392466,6/18/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"100 UNAKA CT, CARY 275196924",Park Site: White Oak Park
424831,8/27/2020,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,"100 W LOCHMERE DR, CARY 275189129",
