CE21-014301,4/12/2021,SITE CHECK,OFFICER,921 SE 16TH PL
CE21-005165,2/9/2021,FORECLOSURE REGISTRATION,OFFICER,921 SE 20TH PL
CE21-012681,4/1/2021,PROPERTY MAINTENANCE,OFFICER,922 CHIQUITA BLVD N
CE21-005997,2/16/2021,VACANT LOT,ANONYMOUS,926 SE 14TH TER
CE21-013488,4/7/2021,MULTIPLE VIOLATIONS,ANONYMOUS,926 SW 36TH ST
CE21-012135,3/29/2021,MULTIPLE VIOLATIONS,ANONYMOUS,927 SW 36TH TER
CE21-010534,3/17/2021,CONTRACTORS & CRB,OFFICER,927/929 SE 13TH TER
CE21-009078,3/9/2021,FORECLOSURE REGISTRATION,OFFICER,928 SE 32ND TER
CE20-033523,9/11/2020,MULTIPLE VIOLATIONS,ANONYMOUS,928 SE 34TH ST
CE20-017590,5/8/2020,BOAT OR BOAT TRAILER,ANONYMOUS,929 SE 26TH TER
CE21-011715,3/25/2021,HEALTH & SANITATION,OFFICER,929 SW 6TH PL
CE21-003166,1/26/2021,MULTIPLE VIOLATIONS,CITIZEN,ACCESS UNDETERMINED
CE20-018790,,,OFFICER,BLVD N 128 NW 37TH  PL
CE20-036805,,,OFFICER,BLVD N 5277 TARIARI Cf
CE21-011843,3/26/2021,MULTIPLE  VIOLATIONS,OFFICER,N 2906  NW 8TH PL
CE20-023443,,,OFFICER,VETERANS  NENORIAL
