CPL2021-00313,"0 ALICO PLAZA COMMERCIAL C/E, FORT MYERS FL NA",0 ALICO PLAZA COMMERCIAL C/E,Pouring a concrete slab behind the building on Saturday for outdoor storage.,Closed-No Violation,0
CPL2021-00314,"4471 BARTLETT PKWY, UPPER CAPTIVA FL NA",4471 BARTLETT PKWY,open storage on vacant residential lot,Closed-Violation Created,1
CPL2021-00315,"0 RIGHT OF WAY, FORT MYERS FL NA",0 RIGHT OF WAY,"lot #38, Brightwood Drive. Doing work in the right of way without a permit. Affecting water supply for half of park.",Closed-No Violation,0
CPL2021-00316,"13651 GANNET DR, FORT MYERS FL 33908",13651 GANNET DR,chickens on property and inside house,Closed-No Violation,0
CPL2021-00317,"1128 HOMER AVE S, LEHIGH ACRES FL 33973",1128 HOMER AVE S,"nuisance accumulation including unregister vehicles, trash, tired, washer and dryer, misc items",Closed-Violation Created,1
CPL2021-00318,"6320 ARC WAY, FORT MYERS FL 33966",6320 ARC WAY,Addition of offices without permits in back of building.,Closed-Violation Created,1
CPL2021-00319,"7132 S BRENTWOOD RD, FORT MYERS FL 33919",7132 S BRENTWOOD RD,Complaint of debris on property near ditch.,Closed-No Violation,0
CPL2021-00320,"3640 SW PINE ISLAND RD, CAPE CORAL FL 33991",3640 SW PINE ISLAND RD,repaving parking lot no permit,Closed-Violation Created,1
CPL2021-00321,"5050 MELALUCA DR, FORT MYERS FL 33905",5050 MELALUCA DR,Removal of protected Trees without a permit. Removing large Laurel Oak without permit.,Closed-No Violation,0
CPL2021-00322,"27 LINCOLN AVE, LEHIGH ACRES FL 33936",27 LINCOLN AVE,Complaint of ducks/chickens on property.  You may contact - 504 Leeland heights 239-244-6953 for access.,Closed-Violation Created,1
CPL2021-00323,"13733 PINE VILLA LN, FORT MYERS FL 33912",13733 PINE VILLA LN,chickens on property,Closed-No Violation,0
CPL2021-00324,"5816 BRIGHTWOOD DR, FORT MYERS FL 33905",5816 BRIGHTWOOD DR,unlicensed plumber,Closed-No Violation,0
CPL2021-00325,"13489 LITTLE GEM CIR, FORT MYERS FL 33913",13489 LITTLE GEM CIR,Windows are being replaced without a permit,Closed-No Violation,0
CPL2021-00326,"4114 11TH ST SW, LEHIGH ACRES FL 33976",4114 11TH ST SW,unregistered/inoperable vehicles,Closed-Violation Created,1
CPL2021-00327,"831 RUE LABEAU CIR, FORT MYERS FL 33913",831 RUE LABEAU CIR,Parked cars on their property and parked across the street filled with debris. Debris is often taken out of car and left on adjacent property as well.,Closed-Violation Created,1
CPL2021-00328,"967 NORTH TOWN AND RIVER DR, FORT MYERS FL 33919",967 NORTH TOWN AND RIVER DR,Pool without a permit.,Closed-Violation Created,1
CPL2021-00329,"10880 STRINGFELLOW RD, BOKEELIA FL 33922",10880 STRINGFELLOW RD,"Working on rear of property, renovations done without permit. Nuisance accumulation.",Closed-Violation Created,1
CPL2021-00330,"173 PENNFIELD ST, LEHIGH ACRES FL 33974",173 PENNFIELD ST,home being occupied without a CO,Closed-Violation Created,1
CPL2021-00331,"831 RUE LABEAU CIR, FORT MYERS FL 33913",831 RUE LABEAU CIR,Car parked in grass in backyard filled with debris. Cars are also parked across from the house along the side of the rode filled with debris day and night. Debris if often taken out of truck and left on the side of road on weekends. Property looks like junkyard.,Closed-Duplicate Complaint,0
CPL2021-00332,"21961 PEARL ST, ALVA FL 33920",21961 PEARL ST,"go to marina area- to the east of it- on the water, making a retaining seawall - stacking bags on concrete on side of water",Closed-Violation Created,1
