X,Y,OBJECTID,PARCELID,LOWPARCELID,CVTTXCD,CVTTXDSCRP,SCHLTXCD,SCHLDSCRP,NBHDCD,SITEADDRESS,ZIPCD,CdqYear,NetAnnualTax,SpecialAssessments,TotalOwed,TotalPaid,TotalBalance,X_COORD,Y_COORD,LASTUPDATE,created_user,created_date,last_edited_user,last_edited_date
1834086.332,708491.2315,1,010-000022,010J037     09000,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,652 WHITTIER ST,43206,2020,1162.84,0,1714.45,1133.03,581.42,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1830799.774,707141.5139,2,010-000024,010J050     03700,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1601,189 E DESHLER AV,43206,2020,29654.16,0,44386.19,29559.11,14827.08,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1833192.096,706413.7385,3,010-000152,010K028     07200,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,494 MITHOFF ST,43206,2020,1174.7,0,1705.93,1119,586.93,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1835871.03,711095.4606,4,010-000193,010J007     07300,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,665 S TWENTY SECOND ST,43205,2019,1153.24,1289.19,5423.37,0,5423.37,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1835776.352,715691.261,5,010-000315,010I003     08000,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1201,1011 MADISON AV,43205,2020,2305.72,0,3618.93,0,3618.93,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1836943.113,710106.1992,6,010-000395,010J020     06800,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,819 OAKWOOD AV,43206,2020,1080.74,336.52,2607.13,0,2607.13,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1831937.15,700782.4354,7,010-000466,010K081     01600,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,1956 S NINTH ST,43207,2020,880.8,0,1956.98,1516.58,440.4,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1837116.376,712661.6566,8,010-000481,010I044     00600,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1200,485 OAKWOOD AV,43205,2020,1043.42,114.24,2344.4,1765.57,578.83,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1835642.84,713165.8416,9,010-000500,010I043     06500,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1200,945 MCALLISTER AV,43205,2019,703.78,0,1555.4,0,1555.4,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1833726.304,709150.1377,10,010-000530,010J027     08000,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,881 ANN ST,43206,2019,1424.42,71.19,3191.59,2479.38,712.21,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1834534.719,714537.4428,11,010-000531,010I022     05800,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1201,820 BRYDEN RD,43205,2020,8698.14,236.3,13632.75,4132.96,9499.79,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1829924.266,706038.7491,12,010-000829,010K033     01200,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1603,55 E GATES ST,43206,2020,3950.78,121.22,5613.76,3577.76,2036,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1839378.396,712297.9008,13,010-000996,010I056     01900,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1200,572 MILLER AV,43205,2020,562.92,297.72,2126.26,0,2126.26,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1834055.766,703768.2648,14,010-001067,010K053     05000,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,610 E MARKISON AV,43207,2020,1293.48,0,2029.22,609.37,1419.85,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1838099.928,709320.3719,15,010-001086,010J031     05200,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,945 STUDER AV,43206,2020,1584.58,899.32,2835.56,1594.08,1241.48,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1836725.121,709289.6777,16,010-001100,010J030     02500,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,920 S CHAMPION AV,43206,2018,1644.48,474.34,6928.54,0,6928.54,,,2021/02/27 00:02:38+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1830409.131,701466.5261,17,010-001103,010K073     06700,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1600,1830 - 1832 BUCHER ST,43207,2020,1099.4,0,1681.73,1132.03,549.7,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
1840279.087,713691.8359,18,010-001138,010I036     02900,10,CITY OF COLUMBUS,2503,COLUMBUS CSD,1200,1571 E RICH ST,43205,2020,2700.5,0,2731.12,1380.87,1350.25,,,2021/02/13 16:35:39+00,SDE,2021/02/27 10:41:06+00,SDE,2021/02/27 10:41:06+00
