Date,Record Number,Record Type,Status,Address,parcel_id,site_address,Site_city,Site_zip Code,mail_address,mail_city,mail_state,mail_zip,land_value,bldg_value,total_market_value
3/19/2021,COD2021-00702,Code Enforcement Case,Under Investigation,321 Barton Dr,507-560-1,321 BARTON DR,FREMONT,94536,321 BARTON DR,FREMONT,CA,94536,"$400,000 ","$420,000 ","$820,000 "
3/19/2021,COD2021-00704,Code Enforcement Case,Under Investigation,40739 Grimmer Blvd,,,,,,,,,,,
3/19/2021,COD2021-00703,Code Enforcement Case,Under Investigation,41083 Fremont Blvd,,,,,,,,,,,
3/19/2021,COD2021-00701,Code Enforcement Case,Under Investigation,318 D St,507-240-12,318 D ST,FREMONT,94536,318 D ST,FREMONT,CA,94536,"$109,838 ","$256,123 ","$358,961 "
3/18/2021,COD2021-00700,Code Enforcement Case,Under Investigation,4430 Grover Dr,501-745-80,4430 GROVER DR,FREMONT,94536,4430 GROVER DR,FREMONT,CA,94536,"$500,000 ","$630,000 ","$1,130,000 "
3/18/2021,COD2021-00699,Code Enforcement Case,Under Investigation,3615 Main St # A105,,,,,,,,,,,
3/18/2021,COD2021-00698,Code Enforcement Case,Unfounded,34335 Maybird Cir,543-458-190,34335 MAYBIRD CIR,FREMONT,94555,34335 MAYBIRD CIR,FREMONT,CA,94555,"$286,647 ","$668,844 ","$948,491 "
3/17/2021,COD2021-00697,Code Enforcement Case,Under Investigation,47649 Pima St,519-1193-112,47649 PIMA ST,FREMONT,94539,3321 MIDDLEBROOK WAY SAN,RAMON,CA,94582,"$318,497 ","$557,002 ","$868,499 "
3/17/2021,COD2021-00696,Code Enforcement Case,Unfounded,3355 Pennsylvania Ave,501-1594-5-3,3355 PENNSYLVANIA AVE,FREMONT,94536,1412 WAWONA ST SAN,FRANCISCO,CA,94116,"$460,460 ","$842,191 ","$1,330,911 "
3/17/2021,COD2021-00695,Code Enforcement Case,Under Investigation,5530 Boscell Cmn,531-221-36,5530 BOSCELL CMN,FREMONT,94538,2008 LARRYS PL,LIVERMORE,CA,94550,"$220,143 ","$203,499 ","$423,642 "
3/17/2021,COD2021-00694,Code Enforcement Case,Under Investigation,37697 Fremont Blvd,501-730-11-2,37697  BLVD,FREMONT,94536,37697  BLVD,FREMONT,CA,94536,"$220,498 ","$514,495 ","$734,993 "
3/11/2021,COD2021-00685,Code Enforcement Case,Unfounded,46879 Chemult Cmn,519-1692-239,46879 CHEMULT CMN 17,FREMONT,94539,46879 CHEMULT CMN 17,FREMONT,CA,94539,"$42,843 ","$129,781 ","$165,624 "
3/11/2021,COD2021-00693,Code Enforcement Case,Enforcement,34231 Kenwood Dr,543-456-3,34231 KENWOOD DR,FREMONT,94555,34231 KENWOOD DR,FREMONT,CA,94555,"$95,558 ","$222,969 ","$311,527 "
3/11/2021,COD2021-00692,Code Enforcement Case,Under Investigation,299 Vivian Cmn,507-20-16,299 VIVIAN CMN,FREMONT,94536,299 VIVIAN CMN,FREMONT,CA,94536,"$82,957 ","$177,815 ","$253,772 "
3/11/2021,COD2021-00691,Code Enforcement Case,Under Investigation,37758 Argyle Rd # A,,,,,,,,,,,
3/11/2021,COD2021-00690,Code Enforcement Case,Under Investigation,160 Sycamore St,,,,,,,,,,,
3/11/2021,COD2021-00689,Code Enforcement Case,Unfounded,4914 Everglades Park Dr,525-1302-32,4914 EVERGLADES PARK DR,FREMONT,94538,4914 EVERGLADES PARK DR,FREMONT,CA,94538,"$135,457 ","$316,066 ","$444,523 "
3/11/2021,COD2021-00688,Code Enforcement Case,Under Investigation,33230 Lake Oneida St,543-343-22,33230 LAKE ONEIDA ST,FREMONT,94555,2294 29TH AVE SAN,FRANCISCO,CA,94116,"$129,118 ","$301,551 ","$430,669 "
3/11/2021,COD2021-00687,Code Enforcement Case,Under Investigation,4139 Fairwood St,,,,,,,,,,,
3/11/2021,COD2021-00686,Code Enforcement Case,Enforcement,3868 Delaware Dr,525-1604-75,3868 DELAWARE DR,FREMONT,94538,316 MID VALLEY CTR 272,RMEL,CA,93923,"$295,643 ","$685,455 ","$981,098 "
3/10/2021,COD2021-00680,Code Enforcement Case,Under Investigation,4049 San Francisco Ter,501-985-103,4049 SAN FRANCISCO TER,FREMONT,94538,4049 SAN FRANCISCO TER,FREMONT,CA,94538,"$89,580 ","$209,021 ","$291,601 "
3/10/2021,COD2021-00681,Code Enforcement Case,Under Investigation,48303 Conifer St,519-1202-64,48303 CONIFER ST,FREMONT,94539,3855 LENELLE CT,FREMONT,CA,94538,"$64,539 ","$84,249 ","$148,788 "
3/10/2021,COD2021-00682,Code Enforcement Case,Enforcement,39358 Fremont Blvd,,,,,,,,,,,
3/10/2021,COD2021-00683,Code Enforcement Case,Under Investigation,3637 Howe Ct,525-1643-14,3637 HOWE CT,FREMONT,94538,3637 HOWE CT,FREMONT,CA,94538,"$174,855 ","$407,996 ","$582,851 "
3/10/2021,COD2021-00684,Code Enforcement Case,Under Investigation,,,,,,,,,,,,
3/7/2021,COD2021-00679,Code Enforcement Case,Received,4181 Irvington Ave,,,,,,,,,,,
3/5/2021,COD2021-00678,Code Enforcement Case,Received,3687 Wilmington Rd,525-1603-39,3687 WILMINGTON RD,FREMONT,94538,3687 WILMINGTON RD,FREMONT,CA,94538,"$520,200 ","$572,220 ","$1,085,420 "
3/4/2021,ENV2021-00028,Environmental Case,Received,34314 Kenwood Dr,543-458-13,34314 KENWOOD DR,FREMONT,94555,34314 KENWOOD DR,FREMONT,CA,94555,"$377,256 ","$880,265 ","$1,257,521 "
3/3/2021,COD2021-00667,Code Enforcement Case,Enforcement,46828 Bradley St,519-1244-49,46828 BRADLEY ST,FREMONT,94539,46828 BRADLEY ST,FREMONT,CA,94539,"$20,401 ","$62,812 ","$76,213 "
3/3/2021,COD2021-00668,Code Enforcement Case,Abated,5560 Cleveland Pl,531-20-159,5560 CLEVELAND PL,FREMONT,94538,5560 CLEVELAND PL,FREMONT,CA,94538,"$188,418 ","$514,401 ","$695,819 "
3/3/2021,COD2021-00669,Code Enforcement Case,Referred,5232 Eggers Dr,531-2-13,5232 EGGERS DR,FREMONT,94536,36288 TUDOR PL,NEWARK,CA,94560,"$286,753 ","$669,091 ","$955,844 "
3/3/2021,COD2021-00670,Code Enforcement Case,Under Investigation,37466 Glenmoor Dr,,,,,,,,,,,
3/3/2021,COD2021-00671,Code Enforcement Case,Unfounded,6124 Northland Ter,,,,,,,,,,,
3/3/2021,COD2021-00672,Code Enforcement Case,Under Investigation,40133 Paseo Padre Pkwy,525-834-89,40133 PASEO PADRE PKWY,FREMONT,94538,40133 PASEO PADRE PKWY,FREMONT,CA,94538,"$416,160 ","$468,804 ","$884,964 "
3/3/2021,COD2021-00673,Code Enforcement Case,Under Investigation,38675 Paseo Padre Pkwy # 316,,,,,,,,,,,
3/3/2021,COD2021-00674,Code Enforcement Case,Unfounded,5537 Dewey Pl,531-33-13,5537 DEWEY PL,FREMONT,94538,5537 DEWEY PL,FREMONT,CA,94538,"$227,848 ","$531,645 ","$759,493 "
3/3/2021,COD2021-00675,Code Enforcement Case,Under Investigation,124 Grau Dr,507-20-68,124 GRAU DR,FREMONT,94536,124 GRAU DR,FREMONT,CA,94536,"$163,656 ","$381,866 ","$538,522 "
3/3/2021,COD2021-00676,Code Enforcement Case,Enforcement,345 Kansas Way,519-1203-62,345 KANSAS WAY,FREMONT,94539,345 KANSAS WAY,FREMONT,CA,94539,"$76,534 ","$198,156 ","$267,690 "
3/3/2021,COD2021-00677,Code Enforcement Case,Referred,37307 Blacow Rd,,,,,,,,,,,
3/2/2021,COD2021-00663,Code Enforcement Case,Unfounded,40630 High St,525-782-29,40630 HIGH ST,FREMONT,94538,40630 HIGH ST,FREMONT,CA,94538,"$155,610 ","$363,090 ","$518,700 "
3/2/2021,COD2021-00662,Code Enforcement Case,Under Investigation,43555 Greenhills Way,,,,,,,,,,,
3/2/2021,COD2021-00666,Code Enforcement Case,Received,4181 Irvington Ave,,,,,,,,,,,
3/2/2021,COD2021-00665,Code Enforcement Case,Under Investigation,37759 Niles Blvd,,,,,,,,,,,
3/2/2021,COD2021-00664,Code Enforcement Case,Unfounded,40640 High St,525-784-10-1,40640 HIGH ST,FREMONT,94538,PO BOX 4747 OAK,BROOK,IL,60522,"$8,688,175 ","$20,430,195 ","$29,301,281 "
2/25/2021,COD2021-00661,Code Enforcement Case,Unfounded,3933 Thornton Ave,,,,,,,,,,,
2/24/2021,COD2021-00660,Code Enforcement Case,Referred,161 I St,507-295-12,161 I ST,FREMONT,94536,37608 2ND STREET,FREMONT,CA,94536,"$238,998 ","$557,663 ","$796,661 "
2/23/2021,COD2021-00659,Code Enforcement Case,Under Investigation,34258 Trampini Cmn,543-462-38,34258 TRAMPINI CMN 81,FREMONT,94555,34258 TRAMPINI CMN 81,FREMONT,CA,94555,"$262,751 ","$613,087 ","$875,838 "
2/23/2021,COD2021-00658,Code Enforcement Case,Unfounded,37072 Cabrillo Dr,501-456-63,37072 CABRILLO DR,FREMONT,94536,37072 BRILLO DR,FREMONT,CA,94536,"$222,716 ","$519,859 ","$742,575 "
2/23/2021,COD2021-00657,Code Enforcement Case,Enforcement,40655 Grimmer Blvd,525-960-15,40655 GRIMMER BLVD,FREMONT,94538,409 L ST,FREMONT,CA,94536,"$511,059 ","$601,614 ","$1,112,673 "
2/23/2021,COD2021-00656,Code Enforcement Case,Unfounded,166 Azul Ct,513-748-21-1,166 AZUL CT,FREMONT,94539,166 AZUL CT,FREMONT,CA,94539,"$571,072 ","$1,343,986 ","$1,908,058 "
2/23/2021,COD2021-00655,Code Enforcement Case,Unfounded,1032 Sundance Dr,519-1673-19,1032 SUNDANCE DR,FREMONT,94539,1032 SUNDANCE DR,FREMONT,CA,94539,"$477,922 ","$930,608 ","$1,401,530 "
2/22/2021,COD2021-00654,Code Enforcement Case,Enforcement,38691 Greenwich Cir,507-405-55,38691 GREENWICH CIR,FREMONT,94536,38691 GREENWICH CIR,FREMONT,CA,94536,"$65,505 ","$137,388 ","$195,893 "
2/22/2021,COD2021-00653,Code Enforcement Case,Unfounded,4637 Alhambra Dr,543-387-88,4637 ALHAMBRA DR,FREMONT,94536,4637 ALHAMBRA DR,FREMONT,CA,94536,"$270,605 ","$584,506 ","$855,111 "
2/22/2021,COD2021-00652,Code Enforcement Case,Abated,5504 Shana St,531-216-54,5504 SHANA ST,FREMONT,94538,5504 SHANA ST,FREMONT,CA,94538,"$152,286 ","$368,931 ","$521,217 "
2/22/2021,COD2021-00651,Code Enforcement Case,Unfounded,1301 Quema Dr,513-705-17,1301 QUEMA DR,FREMONT,94539,1301 QUEMA DR,FREMONT,CA,94539,"$56,749 ","$124,475 ","$181,224 "
