8/20/2020,PV-20-1931,Public Nuisance,Public Nuisance,"1706 BROCKETT AV, HIGH POINT NC 27260",1706 BROCKETT AV,1706,BROCKETT,AV,Closed - Owner Corrected,Public Nuisance
8/20/2020,PV-20-1932,Public Nuisance,Public Nuisance,"206 MORGAN PL, HIGH POINT NC 27260",206 MORGAN PL,206,MORGAN,PL,Closed - Lien Filed,Public Nuisance
8/20/2020,PV-20-1933,Public Nuisance,Public Nuisance,"210 MORGAN PL, HIGH POINT NC 27260",210 MORGAN PL,210,MORGAN,PL,Closed - Owner Corrected,Public Nuisance
8/20/2020,PV-20-1934,Public Nuisance,Public Nuisance,"215 MORGAN PL, HIGH POINT NC 27260",215 MORGAN PL,215,MORGAN,PL,Closed - Owner Corrected,Public Nuisance
8/20/2020,PV-20-1935,Public Nuisance,Public Nuisance,"605 HAWTHORNE AV, HIGH POINT NC 27262",605 HAWTHORNE AV,605,HAWTHORNE,AV,Closed - Lien Filed,Public Nuisance
8/20/2020,PV-20-1936,Public Nuisance,Public Nuisance,"1324 BAILEY CI, HIGH POINT NC 27262",1324 BAILEY CI,1324,BAILEY,CI,Closed - No Violation,Public Nuisance
8/20/2020,PV-20-1937,Public Nuisance,Public Nuisance,"1100 BRIDGES DR, HIGH POINT NC 27262",1100 BRIDGES DR,1100,BRIDGES,DR,Closed - Owner Corrected,Public Nuisance
8/20/2020,PV-20-1938,Public Nuisance,Public Nuisance,"3709 MAIN ST, HIGH POINT NC 27265",3709 MAIN ST,3709,MAIN,ST,Closed - No Violation,Public Nuisance
8/21/2020,DV-20-0282,Zoning,Zoning,"816 LEXINGTON AV, HIGH POINT NC 27262",816 LEXINGTON AV,816,LEXINGTON,AV,Closed - In Compliance,Zoning
8/21/2020,DV-20-0283,Zoning,Zoning,"319 MONTLIEU AV, HIGH POINT NC 27262",319 MONTLIEU AV,319,MONTLIEU,AV,In Violation,Zoning
8/21/2020,DV-20-0284,Zoning,Zoning,"309 HAY ST, HIGH POINT NC 27260",309 HAY ST,309,HAY,ST,Closed - No Violation,Zoning
8/21/2020,PV-20-1939,Public Nuisance,Public Nuisance,"812 PARLIAMENT ST, HIGH POINT NC 27265",812 PARLIAMENT ST,812,PARLIAMENT,ST,Closed - No Violation,Public Nuisance
8/21/2020,PV-20-1940,Public Nuisance,Public Nuisance,"701 LEXINGTON AV, HIGH POINT NC 27262",701 LEXINGTON AV,701,LEXINGTON,AV,Closed - Owner Corrected,Public Nuisance
8/21/2020,PV-20-1941,Public Nuisance,Public Nuisance,"2809 BRECKENRIDGE CT, HIGH POINT NC 27265",2809 BRECKENRIDGE CT,2809,BRECKENRIDGE,CT,Closed - No Violation,Public Nuisance
8/21/2020,PV-20-1942,Public Nuisance,Public Nuisance,"1720 WAVERLY ST, HIGH POINT NC 27265",1720 WAVERLY ST,1720,WAVERLY,ST,Closed - Owner Corrected,Public Nuisance
8/21/2020,PV-20-1943,Public Nuisance,Public Nuisance,"2309 WOODRUFF AV, HIGH POINT NC 27265",2309 WOODRUFF AV,2309,WOODRUFF,AV,Closed - Owner Corrected,Public Nuisance
8/21/2020,PV-20-1944,Public Nuisance,Public Nuisance,"2512 MARTIN LUTHER KING JR DR, HIGH POINT NC 27260",2512 MARTIN LUTHER KING JR DR,2512,MARTIN LUTHER KING JR,DR,Closed - Owner Corrected,Public Nuisance
8/21/2020,PV-20-1945,Public Nuisance,Public Nuisance,"2518 MARTIN LUTHER KING JR DR, HIGH POINT NC 27260",2518 MARTIN LUTHER KING JR DR,2518,MARTIN LUTHER KING JR,DR,Closed - Owner Corrected,Public Nuisance
