ASSIGNED NAME,Case Number,Opened Date,Address,Status,Description
Eric Tlilayatzi,CV2021-18944,4/29/2021,19744 Beach Blvd,Open,"Location is used for Sober Living meetings. R/p would like to know if this is legitimate. Ran by ""Sober Living Partners"""
Gerardo Jimenez,CV20190062220,12/30/2019,7871 Newman Ave,Open,Inadequate Sanitation 7871 Newman Street Unit B Huntington Beach 2 bedroom apt with wall put in without permit with 6 residents residing within and 2 residents with 2 children residing in side storage room without permit MYHB #224806 MYHB #224352
Gerardo Jimenez,CV20200020220,1/29/2020,17441 Keelson Ln,Open,The garage doors are damaged.
Gerardo Jimenez,CV20200122211,3/17/2020,17191 Beach Blvd,Open,Eyesore tool salvage yard with people living in the back of it. Looks bad. myhb#266658 #514696
Gerardo Jimenez,CV20200095220,3/24/2020,16522 Tripp Cir,Open,"Accumulation of debris in front of the property near the driveway (wooden sheets, wood planks, and other debris), chipped and peeling paint is visible from the front of the house."
Gerardo Jimenez,CV20200223220,5/13/2020,8411 Tamaru Dr,Open,Discarded equipment. Dilapidated fence. Broken window at unit B. Faulty weather protection - Wood rot on fascia boards.
Gerardo Jimenez,CV20200394211,5/15/2020,8402 Slater Ave,Open,"Apt. B @ 8402 Slater has a Nail business in the apartment. She has the front door open and I could see the Spa chair while she was giving a pedicure to a lady. Neither one was wearing a mask! Also, the garage at the Duplex was converted into apartment. Entrance in the back of garage.#298933"
Gerardo Jimenez,CV20200282220,6/9/2020,7660 Liberty Dr,Open,"Overgrown vegetation, dilapidated fence, dilapidated driveway, no business license."
Gerardo Jimenez,CV20200301220,6/19/2020,7862 Kristin Cir,Open,"improper weather protection lack of paint protection. Damage garage doors, damaged storage shed."
Gerardo Jimenez,CV20200649211,6/22/2020,8175 Warner Ave,Open,People loitering on property (HBPD Handle - See Jimmy)? trash and debris around property left behind from homeless/ trespasser#323332
Gerardo Jimenez,CV20200768211,7/6/2020,7882 Liberty Dr,Open,"In the garage of apartment A of building, has become a problem since people are coming constantly to an irregular business ( barber shop ) the situation as it is is dangerous and it has caused parking issues in the fire lanes and in the streets, besides I dont think this business has permission to be operating, and even worse those this pandemic situation, not to mention all that trash not bagged and that gets trowed in the container with out a trash bag , creating even more trash and bad aspect to our community#338806 *additional: unpermitted construction of Unit E."
Gerardo Jimenez,CV20200323220,7/7/2020,7902 Liberty Dr,Open,Discarded items. Unpermitted construction of Unit E.
Gerardo Jimenez,CV20200330220,7/10/2020,7682 Speer Dr,Open,Business in violation of C.U.P No. 97-66. Storage of vehicles outisde of the property. Taking up required parking spaces. Failure to meet screening requirements. Other businesses around the area may not have a certificate of occupancy.
Gerardo Jimenez,CV20200337220,7/17/2020,7931 Stark Dr,Open,The trash at 7931 Stark drive is just disgusting. The trash pick up today did not take all the trash which tenants have put outside the bin. This happens all the time with this buildings trash. All this stuff gathered around the bin causes lots of rats and cats. Please do something. #347766
Gerardo Jimenez,CV20200354220,7/23/2020,8432 Tamaru Dr,Open,"dilapidated fascia boards, hazardous electrical. inoperable vehicle in public view. Auto repair in residential area. Dilapidated driveway."
Gerardo Jimenez,CV20200358220,7/28/2020,7642 Warner Ave,Open,Church is an eyesore. Lowering property values in the area. #354579
Gerardo Jimenez,CV20201120211,8/7/2020,7831 Liberty Dr,Open,Parks car on the lawn everynight and it is still there every morning. Happens almost every day. #361487 *additional complaint: Substandard housing. Improper Occupancy.
