404 W LELAND AVE,404,LELAND,AVE,Code Enforcement - Fencing Violation,Open - Founded,3/16/2020,,MISSING FENCE PICKETS AND LEANING SECTIONS OF FENCE,FALSE
709 PEARSON AVE,709,PEARSON,AVE,Code Enforcement - Fencing Violation,Open - Founded,5/5/2020,,Fence on west side of property in disrepair.,FALSE
1213 GREENVILLE RD,1213,GREENVILLE,RD,Code Enforcement - Fencing Violation,Open - Founded,5/15/2020,,Fence in disrepair,FALSE
2121 TEDDY ROOSEVELT DR,2121,TEDDY ROOSEVELT,DR,Code Enforcement - Fencing Violation,Open - Founded,5/29/2020,,"ALLEY/FRISCO - FENCE IS DETERIORATED, SEPARATED AND LEANING.",FALSE
2228 PRESTON LN,2228,PRESTON,LN,Code Enforcement - Fencing Violation,Open - Founded,8/3/2020,,Fence dilapidated,TRUE
1604 N GRAVES ST,1604,GRAVES,ST,Code Enforcement - Fencing Violation,Open - Founded,10/21/2020,,Dilapidated fence,FALSE
3801 TEMECULA CREEK TRL,3801,TEMECULA CREEK,TRL,Code Enforcement - Fencing Violation,Open - Founded,11/12/2020,,"FENCE PANELS SEPARATED, LEANING, NEED REPAIR.",FALSE
116 S MORRIS ST,116,MORRIS,ST,Code Enforcement - Fencing Violation,Open - Founded,1/5/2021,,Fence in rear of property in disrepair,FALSE
1013 FINCH AVE,1013,FINCH,AVE,Code Enforcement - Fencing Violation,Open - Founded,1/7/2021,,Dilapidated fence in rear,FALSE
3925 LA TIERRA LINDA TRL,3925,LA TIERRA LINDA,TRL,Code Enforcement - Fencing Violation,Open - Founded,2/10/2021,,FENCE PANELS STACKED AT SIDEYARD. CHECK AFTER COLLECTION DAY.,FALSE
5498 ALMA RD,5498,ALMA,RD,Code Enforcement - Fencing Violation,Open - Founded,2/22/2021,,CMA MANAGEMENT REPORTS DILAPIDATED FENCE. MISSING PICKET.,FALSE
1400 W UNIVERSITY DR WB,1400,UNIVERSITY DR,WB,Code Enforcement - General,Open - Founded,3/25/2021,,Construction debris on property,FALSE
1404 W UNIVERSITY DR WB,1404,UNIVERSITY DR,WB,Code Enforcement - General,Open - Founded,3/25/2021,,Construction debris on property,FALSE
4917 RUSTIC RIDGE DR,4917,RUSTIC RIDGE,DR,Code Enforcement - General,Open - Founded,3/29/2021,,Pod in driveway,FALSE
2520 SUNNYSIDE DR,2520,SUNNYSIDE,DR,Code Enforcement - General,Open - Founded,3/29/2021,,Pod in driveway NDH,FALSE
1216 COLEMAN ST,1216,COLEMAN,ST,Code Enforcement - General,Open - Founded,3/29/2021,,Trash and debris on property,FALSE
1111 MONTEREY ST,1111,MONTEREY,ST,Code Enforcement - General,Open - Founded,3/29/2021,,Trash/parking prohibitions,FALSE
5901 TRINITY FALLS PKWY,5901,TRINITY FALLS,PKWY,Code Enforcement - General,Open - Founded,3/31/2021,,,FALSE
508 W ERWIN AVE,508,ERWIN,AVE,Code Enforcement - General,Open - Founded,4/1/2021,,Trash on property,FALSE
180 INDUSTRIAL BLVD,180,INDUSTRIAL,BLVD,Code Enforcement - General,Open - Founded,4/5/2021,,,FALSE
411 S CHESTNUT ST,411,CHENUT,ST,Code Enforcement - General,Open - Founded,4/5/2021,,Trash and debris in side and rear yard of the vacant property,FALSE
800 GERRISH ST,800,GERRISH,ST,Code Enforcement - General,Open - Founded,4/5/2021,,Trash and debris on the property and right of way,FALSE
1506 W LOUISIANA ST,1506,LOUISIANA,ST,Code Enforcement - General,Open - Founded,4/6/2021,,Grass/weeds over 12 inches,FALSE
2515 PEPPER TREE CIR,2515,PEPPER TREE,CIR,Code Enforcement - General,Open - Founded,4/7/2021,,TRASH ALONG REAR DRIVEWAY AND ALONG ROCKHILL RD.,FALSE
607 DOGWOOD TRL,607,DOGWOOD,TRL,Code Enforcement - General,Open - Founded,4/7/2021,,10 BLACK PLASTIC BAGS ALONG THE ALLEY FULL OF YARD DEBRIS- NOT COLLECTION DAY.,FALSE
801 GERRISH ST,801,GERRISH,ST,Code Enforcement - General,Open - Founded,4/7/2021,,"High grass/weeds, fence out of compliance.",FALSE
621 DOGWOOD TRL,621,DOGWOOD,TRL,Code Enforcement - General,Open - Founded,4/7/2021,,DEBRIS PILED ALONG FENCE AT REAR DRIVEWAY,FALSE
624 BANDERA ST,624,BANDERA,ST,Code Enforcement - General,Open - Founded,4/7/2021,,CLOTH CHAIR AT REAR DRIVEWAY NOT COLLECTION DAY,FALSE
5401 RAINCREST DR,5401,RAINCREST,DR,Code Enforcement - General,Open - Founded,4/7/2021,,Pod in driveway,FALSE
1356 SCENIC HILLS DR,1356,SCENIC HILLS,DR,Code Enforcement - General,Open - Founded,4/7/2021,,2 trailers on property/driveway,FALSE
1013 N KENTUCKY ST,1013,KENTUCKY,ST,Code Enforcement - General,Open - Founded,4/7/2021,,High grass,FALSE
315 N MCDONALD ST,315,MCDONALD,ST,Code Enforcement - General,Open - Founded,4/8/2021,,,FALSE
2781 VIRGINIA PKWY,2781,VIRGINIA,PKWY,Code Enforcement - General,Open - Founded,4/8/2021,,,FALSE
2812 FAIR TIMBER WAY,2812,FAIR TIMBER,WAY,Code Enforcement - General,Open - Founded,4/8/2021,,Trailer in driveway,FALSE
341 E VIRGINIA ST,341,VIRGINIA,ST,Code Enforcement - General,Open - Founded,4/8/2021,,,FALSE
3150 CR 943,3150,943 CR,,Code Enforcement - General,Open - Founded,4/8/2021,,Grass,FALSE
200 N MCDONALD ST,200,MCDONALD,ST,Code Enforcement - General,Open - Founded,4/8/2021,,,FALSE
1112 N LAKE FOREST DR,1112,LAKE FOREST,DR,Code Enforcement - General,Open - Founded,4/8/2021,,High grass vacant lot north of Preserve and Lake forest intersection,FALSE
