2/16/2021,CE-21-003,Sub-Standard Property Violation,"17718 S CAMINO DE LAS QUINTAS, SAHUARITA AZ 85629",17718,S,CAMINO DE LA QUINTA
2/11/2021,CE-21-002,Home-Based Business Violation,"701 W CALLE LA BOLITA, SAHUARITA AZ 85629",701,W,CALLE LA BOLITA
1/14/2021,CE-21-001,Sub-Standard Property Violation,"17000 S LA CANADA DR, SAHUARITA AZ 85629",17000,S,LA CANADA DR
12/2/2020,CE-20-033,Sub-Standard Property Violation,"15752 S LA POSTA RD, SAHUARITA AZ 85629",15752,S,LA POTA RD
10/2/2020,CE-20-032,Illegal Occupancy Violation,"17200 S La Villita Road Lot 29, Sahuarita AZ 85629",17200,S,La Villita Road Lot 29
9/30/2020,CE-20-031,Sub-Standard Property Violation,"17800 S PLACITA DE PLATA, SAHUARITA AZ 85629",17800,S,PLACITA DE PLATA
9/3/2020,CE-20-030,Sub-Standard Property Violation,"17821 S PLACITA DE PLATA, SAHUARITA AZ 85629",17821,S,PLACITA DE PLATA
7/20/2020,CE-20-029,Sub-Standard Property Violation,"1344 W CALLE DEL ENSAYADOR, SAHUARITA AZ 85629",1344,W,CALLE DEL ENSAYADOR
7/7/2020,CE-20-028,Sub-Standard Property Violation,"1031 W CALLE SANTIAGO, SAHUARITA AZ 85629",1031,W,CALLE SANTIAGO
7/2/2020,CE-20-027,Working Without Permit Violation,"17750 S SILENT MEADOWS PH, SAHUARITA AZ 85629",17750,S,ILENT MEADOW PH
6/26/2020,CE-20-026,Sub-Standard Property Violation,"326 E CALLE ASPA, GREEN VALLEY AZ 85614",326,E,CALL ASPA
6/23/2020,CE-20-025,Sub-Standard Property Violation,"431 E CAMINO LUNA AZUL, SAHUARITA AZ 85629",431,E,CAMINO LUNA AZUL
6/16/2020,CE-20-024,Working Without Permit Violation,"997 E STRONGHOLD CANYON LN, SAHUARITA AZ 85629",997,E,STRONGHOLD CANYON LN
6/12/2020,CE-20-023,Sub-Standard Property Violation,"824 W CALLE VALENCIANA, SAHUARITA AZ 85629",824,W,CALLE VALENCIANA
6/2/2020,CE-20-022,Sub-Standard Property Violation,"130 W DUVAL MINE RD, GREEN VALLEY AZ 85614",130,W,DUVAL MINE RD
6/2/2020,CE-20-021,Sub-Standard Property Violation,"70 W DUVAL MINE RD, GREEN VALLEY AZ 85614",70,W,DUVAL MINE RD
5/27/2020,CE-20-020,Working Without Permit Violation,"17200 S LA VILLITA RD, SAHUARITA AZ 85629",17200,S,LA VILLITA RD
5/21/2020,CE-20-019,Sub-Standard Property Violation,"17821 S PLACITA DE PLATA, SAHUARITA AZ 85629",17821,S,PLACITA DE PLATA
4/24/2020,CE-20-018,Sub-Standard Property Violation,,,,
4/21/2020,CE-20-017,Home-Based Business Violation,"908 W PLACITA EL CAUCE RICO, GREEN VALLEY AZ 85614",908,W,PLACITA EL CAUCE RICO
4/13/2020,CE-20-016,Sub-Standard Property Violation,"1363 W WOODACRE DR, SAHUARITA AZ 85629",1363,W,OODACRE DR
3/16/2020,CE-20-015,Sub-Standard Property Violation,"1000 W PIMA MINE RD, SAHUARITA AZ 85629",1000,W,PIMA MINE RD
3/10/2020,CE-20-014,Wall or Fence Violation,"301 S VAUGHN CANYON PL, SAHUARITA AZ 85629",301,S,VAUGHN CANYON PL
2/10/2020,CE-20-012,Working Without Permit Violation,"745 N COPPER VIEW DR, GREEN VALLEY AZ 85614",745,N,COPPER VIEW DR
2/10/2020,CE-20-011,Sub-Standard Property Violation,"182 E THOMAS JEFFERSON WY, SAHUARITA AZ 85629",182,E,THOMAS JFFRSON WY
1/28/2020,CE-20-009,Working Without Permit Violation,"901 W CAMINO NOGAL BLANCO, SAHUARITA AZ 85629",901,W,CAMINO NOGAL BLANCO
1/27/2020,CE-20-008,Home-Based Business Violation,"17700 S PLACITA OCTUBRE, GREEN VALLEY AZ 85614",17700,S,PLACITA OCTUBRE
1/21/2020,CE-20-007,Sub-Standard Property Violation,"17010 S LA CANADA DR, SAHUARITA AZ 85629",17010,S,LA CANADA DR
1/17/2020,CE-20-005,Home-Based Business Violation,"27 W CALLE PRISCAL, SAHUARITA AZ 85629",27,W,CALLE PRISCAL
1/16/2020,CE-20-004,Working Without Permit Violation,"492 E PLACITA BOTON, SAHUARITA AZ 85629",492,E,PLACITA BOTON
1/16/2020,CE-20-003,Sub-Standard Property Violation,"17610 S LA CANADA DR, SAHUARITA AZ 85629",17610,S,LA CANADA DR
1/6/2020,CE-20-010,Home-Based Business Violation,"17445 S LA CANADA DR, SAHUARITA AZ 85629",17445,S,LA CANADA DR
1/2/2020,CE-20-001,Home Occupation Violation,"831 W VUELTA GRANADINA, SAHUARITA AZ 85629",831,W,VUELTA GRANADINA
Date,Record Number,Record Type,Address,Address,,
