ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION
706 CONWAY ST,11/27/2012 12:00:00 AM,Duplex,2,7,4,34400,"(44.95482796, -93.06825796)"
1020 CARROLL AVE,03/12/2008 12:00:00 AM,Single Family Residential,2,1,8,33800,"(44.95012389, -93.14321129)"
255 UNIVERSITY AVE W,03/05/2018 12:00:00 AM,Commercial,1,1,7,32700,"(44.95594823, -93.11096351)"
46 FRONT AVE,07/19/2018 12:00:00 AM,Duplex,2,1,6,31400,"(44.97015027, -93.10206885)"
1019 CUMBERLAND ST,02/09/2021 12:00:00 AM,Single Family Residential,1,5,6,30800,"(44.97212266, -93.11766343)"
871 STICKNEY ST,12/07/2016 12:00:00 AM,Single Family Residential,1,2,3,37200,"(44.91970825, -93.0633428)"
953 SHERBURNE AVE,08/17/2018 12:00:00 AM,Single Family Residential,2,1,7,32500,"(44.95677167, -93.14037982)"
543 MICHIGAN ST,07/05/2019 12:00:00 AM,Duplex,1,2,9,36900,"(44.93512447, -93.12281567)"
1515 MARSHALL AVE,05/07/2020 12:00:00 AM,Single Family Residential,2,1,13,33400,"(44.94865512, -93.16424326)"
100 10TH ST E,03/23/2020 12:00:00 AM,Commercial,1,2,17,34202,"(44.95088376, -93.09532692)"
1113 COMO PLACE,06/02/2020 12:00:00 AM,Duplex,2,5,10,30300,"(44.97473589, -93.1351758)"
476 STINSON ST,09/25/2019 12:00:00 AM,Single Family Residential,2,1,6,31300,"(44.96912132, -93.12027649)"
521 YORK AVE,08/01/2019 12:00:00 AM,Single Family Residential,3,5,5,31500,"(44.96850107, -93.07838665)"
847 HUDSON ROAD,08/10/1999 12:00:00 AM,Commercial,3,7,4,34400,"(44.95238319, -93.06481546)"
603 EDMUND AVE,10/29/2019 12:00:00 AM,Duplex,2,1,7,32600,"(44.95854683, -93.12554999)"
1038 MACKUBIN ST,04/22/2020 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.97253338, -93.12094623)"
736 OAKDALE AVE,07/10/2019 12:00:00 AM,Commercial,1,2,3,37200,"(44.92386511, -93.07758793)"
1722 REANEY AVE,06/27/2019 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.96371826, -93.02755833)"
811 4TH ST E,10/30/2006 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95822343, -93.06589658)"
1303 EDMUND AVE,09/03/2020 12:00:00 AM,Single Family Residential,2,4,11,32300,"(44.95859821, -93.15524067)"
365 MICHIGAN ST,07/12/1995 12:00:00 AM,Single Family Residential,2,2,9,36000,"(44.93495123, -93.1152883)"
1503 VAN BUREN AVE,12/13/2018 12:00:00 AM,Single Family Residential,2,4,11,32100,"(44.9621339, -93.16409394)"
1811 MONTANA AVE E,07/25/2019 12:00:00 AM,Single Family Residential,2,6,2,30702,"(44.98759289, -93.02373283)"
1350 LAUREL AVE,08/08/2018 12:00:00 AM,Single Family Residential,1,1,13,35200,"(44.94481508, -93.15738956)"
1247 5TH ST E,01/25/2021 12:00:00 AM,Single Family Residential,2,7,4,34601,"(44.95963597, -93.04774029)"
146 WATER ST W,12/18/2018 12:00:00 AM,Mixed Use,2,2,3,37100,"(44.93734679, -93.09323696)"
1047 WAKEFIELD AVE,08/28/2020 12:00:00 AM,Single Family Residential,1,7,4,34500,"(44.95337128, -93.05623879)"
1758 BLAIR AVE,01/11/2021 12:00:00 AM,Single Family Residential,2,4,11,32000,"(44.96091357, -93.17446459)"
1033 GALTIER ST,09/10/2015 12:00:00 AM,Duplex,3,5,6,30800,"(44.9725273, -93.11130473)"
831 SMITH AVE S,08/05/2016 12:00:00 AM,Single Family Residential,2,2,3,37000,"(44.92105008, -93.10201471)"
224 GROTTO ST N,05/17/2011 12:00:00 AM,Single Family Residential,2,1,8,33900,"(44.9480278, -93.13124017)"
935 IGLEHART AVE FL MAIN L,03/23/2017 12:00:00 AM,Single Family Residential,2,1,8,33800,"(44.94957358, -93.13968929)"
654 WINSLOW AVE,03/04/2020 12:00:00 AM,Single Family Residential,2,2,3,37100,"(44.92615303, -93.08936135)"
422 JESSAMINE AVE E,09/28/2017 12:00:00 AM,Duplex,2,5,5,30900,"(44.97447497, -93.08291526)"
164 BAKER ST W,02/19/2021 12:00:00 AM,Single Family Residential,1,2,3,37100,"(44.92643809, -93.09234349)"
1545 7TH ST W,04/21/2020 12:00:00 AM,Commercial,2,2,9,36700,"(44.91819947, -93.14127988)"
670 PAYNE AVE,11/27/2018 12:00:00 AM,Commercial,1,7,5,33000,"(44.96141837, -93.07579166)"
372 RANDOLPH AVE BLDG,11/21/2006 12:00:00 AM,Commercial,2,2,9,36000,"(44.92614274, -93.11535259)"
2120 ROSE AVE E,10/16/2019 12:00:00 AM,Single Family Residential,1,6,2,31802,"(44.97602003, -93.01087782)"
832 ARMSTRONG AVE,07/10/2018 12:00:00 AM,Duplex,1,2,9,36800,"(44.92488982, -93.13514311)"
1600 7TH ST W,06/26/2018 12:00:00 AM,Commercial,2,2,9,36700,"(44.91650854, -93.14238353)"
1021 MINNEHAHA AVE E,03/02/2017 12:00:00 AM,Single Family Residential,2,7,4,31701,"(44.96314948, -93.05744411)"
661 WESTERN AVE N,09/18/2012 12:00:00 AM,Mixed Use,2,1,7,32600,"(44.96131619, -93.11627103)"
2284 BENSON AVE UNIT G,02/05/2021 12:00:00 AM,Single Family Residential,2,3,15,37602,"(44.90382557, -93.16209249)"
718 6TH ST E,06/24/2020 12:00:00 AM,Single Family Residential,1,7,4,34400,"(44.95785448, -93.07032636)"
61 JESSAMINE AVE W,05/13/2010 12:00:00 AM,Duplex,2,5,6,30500,"(44.97479581, -93.10256264)"
1450 UNIVERSITY AVE W,06/04/2020 12:00:00 AM,Commercial,1,1,13,33400,"(44.95513379, -93.16042356)"
47 DOUGLAS ST,09/16/2009 12:00:00 AM,Single Family Residential,2,2,9,35900,"(44.93994778, -93.11120531)"
720 EUCLID ST,10/16/2019 12:00:00 AM,Single Family Residential,2,7,4,34400,"(44.9540656, -93.06609232)"
2187 SPRINGSIDE DRIVE,03/15/2021 12:00:00 AM,Single Family Residential,1,7,1,37403,"(44.91934308, -93.0081513)"
1639 TAYLOR AVE,03/01/2017 12:00:00 AM,Single Family Residential,2,4,11,32100,"(44.96780938, -93.16955018)"
2101 KNAPP ST,10/06/2011 12:00:00 AM,Multi-family Residential,2,4,12,30100,"(44.97983527, -93.18917006)"
293 HARRISON AVE,09/12/2019 12:00:00 AM,Single Family Residential,2,2,9,35900,"(44.93978976, -93.11252533)"
