Date,Record Number,Record Type,Address,Description,Project Name,Status,Short Notes
3/22/2021,CE21-0205,Enforcement Case,"1411 WEST AVE, SANTA ROSA CA 95407",Oak tree removed without a permit.,TREE,In Progress,
3/22/2021,CE21-0204,Enforcement Case,"664 TUPPER ST, SANTA ROSA CA 95404",possible violations of short term rentals on ADU,,Open,
3/22/2021,CE21-0203,Enforcement Case,"111 COMMERCIAL CT, SANTA ROSA CA 95407",Fire sprinkler damage,ECO - Emergency Call Out,Open,
3/19/2021,CE21-0202,Enforcement Case,"2735 PETALUMA HILL RD, SANTA ROSA CA 95404",Two RVs observed on property with hoses connected to the bottom of the vehicles to discharge of human waste onto neighboring property,"HRIL, ZRVS, ECR - Illegal Residential Unit, Residential Vehicular, Environmental Crime Residential",Investigate,
3/19/2021,CE21-0201,Enforcement Case,"5885 MELITA RD, SANTA ROSA CA 95409",Resident put up 8' fence without benefit of a permit; 9' tall hedge encroaching into setback and neighboring property,"BRNP, ZRM - Building Residential No Permit, Residential Miscellaneous",Investigate,
3/19/2021,CE21-0200,Enforcement Case,"3911 HANSFORD CT, SANTA ROSA CA 95404","Contractor has dumpsters, full office trailer, travel trailer with someone living in it, building supplies and debris on property.","ZRTD, HRIL, ZRVS - Residential Trash & Debris, Illegal Residential Unit, Residential Vehicular",Investigate,
3/18/2021,CE21-0199,Enforcement Case,"1039 DEL MAR DR, SANTA ROSA CA 95405","Demolition of walls & drywall, light plumbing, reconstruction without benefit of permit(s)3-19-2021 Update; received another complaint regarding work being done over the weekend without permits.  Today I issued a stop work notice for interior remodel without permits, new kitchen, 2 new bathrooms, new light fixtures throughout the house new electrical, new water heater, new force air heater in attic, illegal 1/2 bath in garage",BRNP - Building Residential No Permit,In Progress,
3/18/2021,CE21-0198,Enforcement Case,"4552 SULLIVAN CT, SANTA ROSA CA 95409",Generator noise complaint; complainant requests a decibel inspection,ZRM - Residential Miscellaneous,Investigate,
3/17/2021,CE21-0197,Enforcement Case,"600 B ST, SANTA ROSA CA 95401",Homeless Encampment in parking lot behind SEIU building,Homeless Encampment,Investigate,
3/17/2021,CE21-0196,Enforcement Case,"2641 NEOTOMAS AVE, SANTA ROSA CA 95405",Residents operating a business out of the home,ZHRO - Home Occupation,Investigate,
3/17/2021,CE21-0195,Enforcement Case,"808 FRAZIER AVE, SANTA ROSA CA 95404",Rodent infestation,HRS - Substandard Residential,Investigate,
3/17/2021,CE21-0194,Enforcement Case,"452 BLYTHEWOOD PL, SANTA ROSA CA 95407","Suspected meth lab, strong fumes emanating from property",HRS - Substandard Residential,Investigate,
3/17/2021,CE21-0193,Enforcement Case,"5444 MELITA RD, SANTA ROSA CA 95409",SWO Issued for interior remodel. Lead removal without proper containment and proper BMPs. Provide environmental report and add to scope of permit B21-0506,BRNP - Building Residential No Permit,Closed,
3/15/2021,CE21-0192,Enforcement Case,"4016 QUARTZ DR, SANTA ROSA CA 95405",Stop Work Order IssuedRemoval of heritage trees without permits.Building of swimming pool without permits.Two decks without railings.,BRNP- Building Residential - No Permits,In Progress,
3/14/2021,CE21-0191,Enforcement Case,"2085 COOPER DR, SANTA ROSA CA 95404","extreme substandard housing, trash and debris outside, studio has water damage in ceiling and no utilities, main house has potential mold damage from water staining in kitchen ceiling and throughout the ceilings. Rooms have dead bolts on doors, subleasing rooms.",HRS - Substandard housing,Closed,
3/12/2021,CE21-0190,Enforcement Case,"968 PINER RD, SANTA ROSA CA 95403",Tires and refrigerators being dumped behind the building in the parking lot.,ZCTD - Commercial Trash & Debris,Investigate,
3/12/2021,CE21-0189,Enforcement Case,"944 STEVENSON ST, SANTA ROSA CA 95404",Couch left in planter box area between the sidewalk and the curb,ZRTD - Residential Trash & Debris,Investigate,
3/11/2021,CE21-0188,Enforcement Case,"336 W 8TH ST, SANTA ROSA CA 95401",Resident(s) dumping trash behind building including old tires and broken bed frames.,ZRTD - Residential Trash & Debris,Investigate,
3/11/2021,CE21-0187,Enforcement Case,"150 WESTGATE CIR, SANTA ROSA CA 95401",Resident has been seen hoarding food which has caused a rat infestation.,"HRS, ZRTD - Substandard Residential, Residential Trash & Debris",Investigate,
3/11/2021,CE21-0186,Enforcement Case,"1134 4TH ST, 226, SANTA ROSA CA 95404",Resident allows dog to urinate and defecate on 2nd story balcony; both then spill over onto 1st story resident's entry patio.,HRS - Substandard Residential,In Progress,
3/11/2021,CE21-0185,Enforcement Case,"0 Airway DR, SANTA ROSA CA",Homeless Encampment,"ZCTD - Commercial Trash & Debris, Homeless Encampment",In Progress,
