1051873-CT,Citation,Case,,,3/18/2021,,,Warning,6203 1ST AVE NE,SEATTLE,WA,98115,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1051873-CT,6203 1ST AVE NE,EATTLE, WA 98115 (47.67384757
1051817-CT,Citation,Case,,,3/9/2021,,,Warning,14011 GREENWOOD AVE N,SEATTLE,WA,98133,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1051817-CT,14011 GREENWOOD AVE N,EATTLE, WA 98133 (47.73082919
1050870-CT,Citation,Case,,,9/3/2020,,,Warning,1727 HARBOR AVE SW,SEATTLE,WA,98126,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1050870-CT,1727 HARBOR AVE SW,EATTLE, WA 98126 (47.5872979
1050197-CT,Citation,Case,Land Use,Zoning - Related to Record # 002105-20CP - Photo Available,4/10/2020,,,Warning,8856 20TH AVE SW,SEATTLE,WA,98106,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1050197-CT,8856 20TH AVE SW,EATTLE, WA 98106 (47.52305129
1050177-CT,Citation,Case,Land Use,ZONING,4/6/2020,,,Warning,9038 4th AVE SW,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1050177-CT,"9038 4th AVE SW (47.52167398, -122.33987776)",,
1049480-VI,Notice of Violation,Case,LandLord/Tenant,"Per Online; Unjustly charged fees on behalf of paid utility bill. We paid the utility bill on time within grace period, yet still were charged fees on behalf of the property management and given a 10-day notice to comply or vacate.",1/15/2020,,,Warning,5409 B 26TH AVE SW,SEATTLE,WA,98106,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1049480-VI,5409 B 26TH AVE SW,EATTLE, WA 98106 (47.55348262
001918-21CP,Complaint,Request,Construction,"I understand there to be unauthorized construction/renovation taking place without permits or notification of the building's home owners association. It includes plumbing and possibly also electrical work in a basement storage unit labeled ""F"" - turning a storage unit essentially into a residential space.",3/12/2021,3/24/2021,No Access/Unable to Observe,Under Investigation,22 JOHN ST,SEATTLE,WA,98109,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001918-21CP,22 JOHN ST,EATTLE, WA 98109 (47.61992737
002707-21CP,Complaint,Request,"Construction , Noise","Per Online; There is a demolition construction happening at 2440 Dexter Avenue N, 98109. It is causing our condo building nearby to vibrate quite a lot the past few days and I am concerned if it is within the building code to not cause damage to buildings around it.",4/14/2021,,,Under Investigation,2440 Dexter AVE N,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002707-21CP,"2440 Dexter AVE N (47.64067536, -122.34424138)",,
002719-21CP,Complaint,Request,,fire on 4/11 was told by POTA that I need an inspection done at this property(see previous complaint # 002301-2CP) fire on 3/27 fire dept has mentioned I could have an allergic reaction to the chemicals used to put out the fire - landlord feels its safe to return although I am having headaches I cannot stay here this needs to be inspected,4/14/2021,,,Under Investigation,1819 NAGLE PL,SEATTLE,WA,98122,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002719-21CP,1819 NAGLE PL,EATTLE, WA 98122 (47.61857795
002694-21CP,Complaint,Request,LandLord/Tenant,Release TRAO hold onpermit #6819509-CN.,4/13/2021,,,Under Investigation,12038 5TH AVE NE,SEATTLE,WA,98125,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002694-21CP,12038 5TH AVE NE,EATTLE, WA 98125 (47.71702377
