10/6/2020,SEC-20-00209,Secure Property,"501 STUDEBAKER St, SOUTH BEND IN 46628",501 STUDEBAKER,Review Case for Collections,
10/6/2020,ENV-20-19116,Litter,"1139 HUEY St, SOUTH BEND IN 46628",1139 HUEY,Review Case for Collections,
10/6/2020,ENV-20-19115,Grass and Weeds,"2508 BERTRAND St, SOUTH BEND IN 46628",2508 BERTRAND,Review Case for Collections,
10/6/2020,ENV-20-19114,Litter,"727 LINCOLN Way W, SOUTH BEND IN 46616",727 LINCOLN ay,Closed,
10/6/2020,ENV-20-19113,Grass and Weeds,"2506 BERTRAND St, SOUTH BEND IN 46628",2506 BERTRAND,Review Case for Collections,
10/6/2020,ENV-20-19112,Grass and Weeds,"2502 BERTRAND St, SOUTH BEND IN 46628",2502 BERTRAND,Review Case for Collections,
10/6/2020,ENV-20-19111,Grass and Weeds,"1051 HUEY St, SOUTH BEND IN 46628",1051 HUEY,Review Case for Collections,
10/6/2020,ENV-20-19110,Grass and Weeds,"727 LINCOLN Way W, SOUTH BEND IN 46616",727 LINCOLN ay,Closed,
10/6/2020,ENV-20-19109,Grass and Weeds,"1315 W DUBAIL St, SOUTH BEND IN 46613",1315 W DUBAIL,Review Case for Collections,
10/6/2020,ENV-20-19108,Vegetation,"2507 HURON St, SOUTH BEND IN 46619",2507 HURON,Closed,
10/6/2020,ENV-20-19107,Grass and Weeds,"1534 S SWYGART, SOUTH BEND IN 46613",1534 S,Review Case for Collections,
10/6/2020,ENV-20-19106,Litter,"523 N SCOTT St, SOUTH BEND IN 46616",523 N SCOTT,Closed,
10/6/2020,ENV-20-19105,Grass and Weeds,"1510 N ELMER St, SOUTH BEND IN 46628",1510 N ELMER,Closed,
10/6/2020,ENV-20-19104,Vegetation,"1520 SWYGART Ave, SOUTH BEND IN 46613",1520 SWYGART,Closed,
10/6/2020,ENV-20-19103,Litter,"2222 PRAST Blvd, SOUTH BEND IN 46628",2222 PRAST,Review Case for Collections,
10/6/2020,ENV-20-19102,Grass and Weeds,"1516 N ELMER St, SOUTH BEND IN 46628",1516 N ELMER,Closed,
10/6/2020,ENV-20-19101,Litter,"830 HUEY St, SOUTH BEND IN 46628",830 HUEY,Closed,
