3/9/2021,21ENFCP-00414HS,Enforcement  - Housing Complaint,STOVE  HAS NOT  BEEN  WORKING  FOR  LAST  3 MONTHS  - ROACHES    AND MOLD  AROUND THE SINKS,"121 CAMBRIDGE ST, APT 2nd floor, Springfield MA 01109 United States",121 CAMBRIDGE ST,Closed,STOVE NOT WORKING - MOLD  ROACHES
3/8/2021,21ENFCP-00413HS,Enforcement  - Housing Complaint,Exterior Inspection,"191 OAKLAND ST, Springfield MA 01108",191 OAKLAND ST,Closed,Exterior Inspection
3/8/2021,21ENFCP00075BLD,Enforcement - Building Complaint,referred by MTUCKEY: Request building inspector on 3/11/21 for interior inspection. Tenant states the property is infected with terminates and they have eaten away at beams in basement . Referral send my M.T  Inspection contacts: ERICA RIVERA-LECLAIR 4132739440,"116 MASSASOIT ST, APT 1st, Springfield MA 01107 United States",116 MASSASOIT ST,Pending,Referral: Request building inspector on 3/11/21 for interior inspection. Tenant states the property is infected with terminates and they have eaten away at beams in basement . Referral send my M.T
3/8/2021,21ENFCP-00412HS,Enforcement  - Housing Complaint,Exterior Inspection,"27 LUMAE ST, Springfield MA 01119",27 LUMAE ST,Violations,Exterior Inspection
3/8/2021,21ENFCP-00411HS,Enforcement  - Housing Complaint,Tenant called reporting that there's mold on the bathroom walls.  She said the landlord has come x times to clean the walls but mold just keeps coming back.  She says she's allergic to it and has been feeling very ill.,"132 Plainfield ST, Springfield MA 01107 United States",132 Plainfield ST,Online Submittal,Interior
3/8/2021,21ENFCP-00410HS,Enforcement  - Housing Complaint,Exterior Inspection,"171 NORTHAMPTON AV, Springfield MA 01109 United States",171 NORTHAMPTON AV,Violations,Exterior Inspection
3/8/2021,21ENFCP-00409HS,Enforcement  - Housing Complaint,Maintenance of land/Litter03/09/2021 Emailed to SRA - PLM,"0 RICHELIEU ST, Springfield MA 01105",0 RICHELIEU ST,Violations,Maintenance of land/Litter
3/8/2021,21ENFCP-00408HS,Enforcement  - Housing Complaint,Boat and Exterior Inspection,"0 GUNN SQ, Springfield MA 01109 United States",0 GUNN SQ,Ticket/Fine,Boat and Exterior Inspection
3/8/2021,21ENFCP-00407HS,Enforcement  - Housing Complaint,"Tenant reported having an active water leak right above kitchen sink.  Tenant reported  cabinets are all rotted out, unable to put any dishes or silverware in them; everything is being kept in plastic bags.  Tenant reported doors in the apt have no door handles, fridge is leaking, floor is getting ruined.  Tenant reported there was some electrical work done and holes were left not patched up.  Tenant reported There are roaches now everywhere, there's no light out in the hallway and tenant can't see (has disabilities), there is no door knob in front door causing a safety issue.","101 KENSINGTON AV, 1L, Springfield MA 01108 United States",101 KENSINGTON AV,Re-Inspection,Unit #1L -Interior/ Active Water Leak
3/8/2021,21ENFCP-00406HS,Enforcement  - Housing Complaint,Exterior Inspection,"403 ORANGE ST, Springfield MA 01108",403 ORANGE ST,Violations,Exterior Inspection
