21-5648,ACTIVE,191 45TH AVE NE,CIVIL CITATION - DOM. EQ      ,DOMESTIC EQUIPMENT            ,ACTIVE
21-5651,ACTIVE,1926 44TH ST S,PROPERTY MAINTENANCE          ,FENCE/WALL/HEDGE MAINTENANCE  ,ACTIVE
21-5654,ACTIVE,3896 46TH AVE S,CIVIL CITATION - DOM. EQ      ,DOMESTIC EQUIPMENT            ,ACTIVE
21-5657,ACTIVE,484 45TH AVE NE,CIVIL CITATION - DOM. EQ      ,DOMESTIC EQUIPMENT            ,ACTIVE
21-5658,ACTIVE,595 45TH AVE NE,CIVIL CITATION - DOM. EQ      ,DOMESTIC EQUIPMENT            ,ACTIVE
21-5660,ACTIVE,3200 22ND ST N,PERMIT(S)                     ,PERMITS                       ,ACTIVE
21-5662,ACTIVE,449 45TH AVE NE,CIVIL CITATION - YARD PARKING ,PARKING-RESIDENTIAL REQUIREMTS,ACTIVE
21-5663,ACTIVE,3601 70TH WAY N,PROPERTY MAINTENANCE          ,ROOF DISREPAIR                ,ACTIVE
21-5663,ACTIVE,3601 70TH WAY N,PROPERTY MAINTENANCE          ,PAINT - MAIN STRUCTURE        ,ACTIVE
21-5664,ACTIVE,2221 32ND AVE N,CIVIL CITATION - ALLEYS       ,JUNK/RUBBISH/OUTDOOR STORAGE  ,ACTIVE
21-5670,ACTIVE,4543 25TH AVE S,ZONING VIOLATIONS             ,ZONING PROHIBITED USE         ,ACTIVE
21-5671,ACTIVE,3324 60TH ST N,CIVIL CITATION - DOM. EQ      ,PARKING-RESIDENTIAL REQUIREMTS,ACTIVE
21-5675,ACTIVE,5043 22ND AVE N,ZONING VIOLATIONS             ,PORTABLE STORAGE UNITS (PSU)  ,ACTIVE
21-5679,ACTIVE,2875 67TH WAY N,CIVIL CITATION - YARD PARKING ,PARKING-RESIDENTIAL REQUIREMTS,ACTIVE
21-5684,ACTIVE,1725 21ST AVE S,CIVIL CITATION- INOP MOTOR VEH,INOPERATIVE MOTOR VEHICLE     ,ACTIVE
21-5689,ACTIVE,217 41ST AVE NE,CIVIL CITATION - DOM. EQ      ,DOMESTIC EQUIPMENT            ,ACTIVE
21-5704,ACTIVE,5925 FAIRFIELD AVE S,CIVIL CITATION- INOP MOTOR VEH,INOPERATIVE MOTOR VEHICLE     ,ACTIVE
21-5707,ACTIVE,5925 FAIRFIELD AVE S,CIVIL CITATION                ,LEGAL PREMISES AGENT          ,ACTIVE
21-5713,ACTIVE,5880 FAIRFIELD AVE S,CIVIL CITATION                ,OVERGROWTH                    ,ACTIVE
21-5716,ACTIVE,2446 GRANADA CIR E,OVERGROWTH                    ,OVERGROWTH                    ,ACTIVE
21-5727,ACTIVE,4810 16TH AVE N,PROPERTY MAINTENANCE          ,MAINTENANCE - STRUCTURE/PARTS ,ACTIVE
21-5727,ACTIVE,4810 16TH AVE N,PROPERTY MAINTENANCE          ,JUNK/RUBBISH/OUTDOOR STORAGE  ,ACTIVE
21-5727,ACTIVE,4810 16TH AVE N,PROPERTY MAINTENANCE          ,RATS - FOOD OR HARBORAGE FOR  ,ACTIVE
21-5738,ACTIVE,221 89TH AVE NE,CIVIL CITATION - YARD PARKING ,PARKING-RESIDENTIAL REQUIREMTS,ACTIVE
21-5743,ACTIVE,900 16TH ST S,CIVIL CITATION - JTD          ,JUNK/RUBBISH/OUTDOOR STORAGE  ,ACTIVE
21-5744,ACTIVE,800 64TH AVE S,CIVIL CITATION - JTD          ,JUNK/RUBBISH/OUTDOOR STORAGE  ,ACTIVE
21-5747,ACTIVE,4401 SUNRISE DR S,CIVIL CITATION - JTD          ,JUNK/RUBBISH/OUTDOOR STORAGE  ,ACTIVE
21-5754,ACTIVE,300 NORTHEAST BLVD N,PROPERTY MAINTENANCE          ,DOOR - EXTERIOR               ,ACTIVE
21-5754,ACTIVE,300 NORTHEAST BLVD N,PROPERTY MAINTENANCE          ,FENCE/WALL/HEDGE MAINTENANCE  ,ACTIVE
21-5754,ACTIVE,300 NORTHEAST BLVD N,PROPERTY MAINTENANCE          ,PERMITS                       ,ACTIVE
21-5754,ACTIVE,300 NORTHEAST BLVD N,PROPERTY MAINTENANCE          ,STAIRS - EXTERIOR             ,ACTIVE
21-5754,ACTIVE,300 NORTHEAST BLVD N,PROPERTY MAINTENANCE          ,WALLS - EXTERIOR              ,ACTIVE
21-5754,ACTIVE,300 NORTHEAST BLVD N,PROPERTY MAINTENANCE          ,MAINTENANCE - STRUCTURE/PARTS ,ACTIVE
21-5754,ACTIVE,300 NORTHEAST BLVD N,PROPERTY MAINTENANCE          ,STRUCTURE NUMBERS STREET/ALLEY,ACTIVE
21-5755,ACTIVE,4226 17TH ST N,CIVIL CITATION - JTD          ,JUNK/RUBBISH/OUTDOOR STORAGE  ,ACTIVE
21-5757,ACTIVE,2015 BEACH DR SE,JUNK ON VACANT PROPERTIES     ,JUNK/RUBBISH/OUTDOOR STORAGE  ,ACTIVE
21-5767,ACTIVE,2860 1ST AVE S,CIVIL CITATION                ,BEES AND OTHER STINGING INSECT,ACTIVE
21-5768,ACTIVE,354 37TH AVE NE,SHORT TERM RENTAL             ,SHORT-TERM RENTAL PROHIBITED  ,ACTIVE
