Key Field,STATUS,Case Type,CLOSED,ASSIGNED_TO,PREFIX,Case Sub Type,Address,city,state,zip,MAIN_TABLE_TYPE,MAIN_TABLE_SUBTYPE,MAIN_TABLE_STATUS,COORD_X,COORD_Y,LAT,LON,GIS_SITE_GEO_TYPE,GIS_SITE_ALTERNATE_ID
EH11-005,,,,,EH,,,,,,,,,,,,,,
INV10-001,COMPLAINT FILED,BUILDING,,GEO-Based,INV,WORK W/O PERMIT,85 REVETTE DR,County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV10-002,COMPLAINT FILED,BUILDING,40990,Don Bantam,INV,,529 N FULLER PLACER RD,County,CO,,BUILDING,,COMPLAINT FILED,,,,,PARCEL,
INV10-004,COMPLAINT FILED,BUILDING,,GEO-Based,INV,WORK W/O PERMIT,76 RASOR DR,County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV12-007,COMPLAINT FILED,BUILDING,42138,Don Bantam,INV,WORK W/O PERMIT,234 CARROLL LN,County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV13-002,COMPLAINT FILED,BUILDING,,GEO-Based,INV,WORK W/O PERMIT,28 LAKEVIEW AVE,County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV13-003,COMPLAINT FILED,BUILDING,,GEO-Based,INV,WORK W/O PERMIT,105 RELIANCE DR,County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV13-004,COMPLAINT FILED,BUILDING,,GEO-Based,INV,WORK W/O PERMIT,57 (CR 76),County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV13-005,COMPLAINT FILED,BUILDING,,GEO-Based,INV,WORK W/O PERMIT,781 HIGH POINT DR (CR 500),County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV13-008,OPEN,BUILDING,41578,Steven Kunz,INV,WORK W/O PERMIT,65 HONEYSUCKLE CT (CR 99),County,CO,,BUILDING,WORK W/O PERMIT,OPEN,,,,,PARCEL,
INV13-009,COMPLAINT FILED,BUILDING,,Mark Dzubay,INV,WORK W/O PERMIT,154 SWAN DR (CR 306),County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV13-012,OPEN,BUILDING,,Don Bantam,INV,WORK W/O PERMIT,382 FAIRVIEW BLVD (CR 400),County,CO,,BUILDING,WORK W/O PERMIT,OPEN,,,,,PARCEL,
INV15-005,OPEN,BUILDING,,Don Bantam,INV,WORK W/O PERMIT,532 Polar CT,Silverthorne,CO,,BUILDING,WORK W/O PERMIT,OPEN,,,,,PARCEL,
INV15-014,COMPLAINT FILED,BUILDING,,GEO-Based,INV,WORK W/O PERMIT,,,,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,,
INV15-019,OPEN,BUILDING,,Mark Dzubay,INV,WORK W/O PERMIT,103 Solomons LN (CR 1249),County,CO,,BUILDING,WORK W/O PERMIT,OPEN,,,,,PARCEL,
INV16-001,COMPLAINT FILED,BUILDING,,Mark Dzubay,INV,WORK W/O PERMIT,22869 Hwy 6,County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV16-002,COMPLAINT FILED,BUILDING,,Todd Gourley,INV,WORK W/O PERMIT,85 Revett DR (CR 317),County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV16-008,COMPLAINT FILED,BUILDING,,Don Bantam,INV,WORK W/O PERMIT,341 Poplar CIR (CR 1268),County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV16-010,OPEN,BUILDING,,Don Bantam,INV,FIRE INVESTIGATION,97 Third ST,Montezuma,CO,,BUILDING,FIRE INVESTIGATION,OPEN,,,,,PARCEL,
INV16-011,COMPLAINT FILED,BUILDING,,Don Bantam,INV,WORK W/O PERMIT,181 Emmett Lode RD (CR 536),County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV16-017,COMPLAINT FILED,BUILDING,,Scott Hoffman,INV,WORK W/O PERMIT,159 Snowshoe CIR (CR 930),County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV17-002,COMPLAINT FILED,BUILDING,,Scott Hoffman,INV,WORK W/O PERMIT,68 Continental CT (CR 923),County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV18-004,COMPLAINT FILED,BUILDING,,Scott Hoffman,INV,WORK W/O PERMIT,107 Kokanee LN (CR 1797),Unincorporated Summit County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV18-013,COMPLAINT FILED,BUILDING,,MATT HICKAM,INV,WORK W/O PERMIT,21650 HWY 6,DILLON,CO,80435,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,BUILDING,
INV18-022,COMPLAINT FILED,BUILDING,,Don Bantam,INV,WORK W/O PERMIT,510 Bearing Tree RD (CR 453),Unincorporated Summit County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV19-016,OPEN,BUILDING,43840,Don Bantam,INV,WORK W/O PERMIT,542 Country Boy RD (CR 565),Unincorporated Summit County,CO,,BUILDING,WORK W/O PERMIT,OPEN,,,,,PARCEL,
INV19-019,COMPLAINT FILED,BUILDING,,Steven Kunz,INV,WORK W/O PERMIT,168 Ten Mile CIR (CR 1193),Unincorporated Summit County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV19-020,COMPLAINT FILED,BUILDING,,Steven Kunz,INV,WORK W/O PERMIT,168 Ten Mile CIR (CR 1193),Unincorporated Summit County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV19-021,COMPLAINT FILED,BUILDING,,Steven Kunz,INV,WORK W/O PERMIT,168 Ten Mile CIR (CR 1193),Unincorporated Summit County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV19-026,COMPLAINT FILED,BUILDING,,Bill Egbert,INV,WORK W/O PERMIT,2100 LODGE POLE CIRCLE BLDG A,,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV20-004,COMPLAINT FILED,BUILDING,,John May,INV,WORK W/O PERMIT,2300 Lodge Pole CIR (CR 1272),Unincorporated Summit County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV20-020,COMPLAINT FILED,BUILDING,,Don Bantam,INV,WORK W/O PERMIT,725 Doris DR (CR 655),Unincorporated Summit County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV20-024,COMPLAINT FILED,BUILDING,,STEPHEN BERGMAN,INV,WORK W/O PERMIT,122 Pikes Peak PL (CR 142),Unincorporated Summit County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV20-025,COMPLAINT FILED,BUILDING,,Bill Egbert,INV,WORK W/O PERMIT,396 Cove BLVD (CR 120),Unincorporated Summit County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV21-001,COMPLAINT FILED,BUILDING,,SARAH CONNELLY,INV,WORK W/O PERMIT,32 Sauterne LN (CR 1269),Unincorporated Summit County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
INV21-003,COMPLAINT FILED,BUILDING,,Don Bantam,INV,WORK W/O PERMIT,24 River Run RD (CR 190) #2916,Unincorporated Summit County,CO,,BUILDING,WORK W/O PERMIT,COMPLAINT FILED,,,,,PARCEL,
STRV19-004,COMPLAINT FILED,SHORT TERM RENTAL,,Tanya Shattuck,STRV,,1398 American WAY (CR 906),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV19-006,NON-COMPLIANCE,DWELLINGS VIOLATIONS,,Tanya Shattuck,STRV,ACC APARTMENT,87 Wagon RD (CR 11),Unincorporated Summit County,CO,,DWELLINGS VIOLATIONS,ACC APARTMENT,NON-COMPLIANCE,,,,,PARCEL,
STRV19-007,COMPLAINT FILED,SHORT TERM RENTAL,,Tanya Shattuck,STRV,,415 Vail CIR (CR 127),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV19-009,COMPLAINT FILED,SHORT TERM RENTAL,,Tanya Shattuck,STRV,,629 Idlewild DR (CR 126),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV19-011,COMPLAINT FILED,SHORT TERM RENTAL,,Tanya Shattuck,STRV,,126 CR 674,Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-002,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,351 Piney Acres CIR (CR 77),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-004,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,448 Hillside DR (CR 1906),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-005,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,26 Snowberry WAY (CR 136),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-006,COMPLAINT FILED,SHORT TERM RENTAL,,Tanya Shattuck,STRV,,67 Honeysuckle CT (CR 99),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-007,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,206 Rasor DR (CR 67),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-012,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,66 Arrowhead CT (CR 61),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-014,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,3334 Ski Hill RD (CR 3),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-016,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,151 Burro LN (CR 922),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
STRV20-018,COMPLAINT FILED,SHORT TERM RENTAL,,Don Bantam,STRV,,918 American WAY (CR 906),Unincorporated Summit County,CO,,SHORT TERM RENTAL,,COMPLAINT FILED,,,,,PARCEL,
