TCE181844,HOLD,5/14/2018,3402 APALACHEE PKWY,Parcel ID,,,
TCE184285,  ORDERS_CE    10/01/2018,,,Parcel ID,Fire Code Enforcement,,
TCE184835,CB-HEAR,12/12/2018,453 ALL SAINTS ST,Parcel ID,,,
TCE190657,VCN,2/13/2019,1439 KINGFORD AVE,Parcel ID,,,
TCE190156,VCN,1/8/2019,2309 S MERIDIAN ST,Parcel ID,,,
TCE190699,CB-HEAR,2/15/2019,3517 SUNDOWN RD,Parcel ID,,,
TCE190537,  APPROVED, 02/01/2019,1018 APALACHEE PKWY,Parcel ID,Stormwater Code Enforcement,,
TCE181274,CB-FINE,4/6/2018,109 PUTNAM DR,Parcel ID,,,
TCE03-3185,MOW-FINE,  05/21/2019,1228 LEVY AVE ,Parcel ID,Private Property Code Enforcement,,
TCE184407, MOW-FINE,  10/16/2018,1425 N   DUVAL ST,Parcel ID,Private Property Code Enforcement,,
TCE09-3447,COMP-FINE,5/21/2019,1720 AIRPORT DR,Parcel ID,Private Property Code Enforcement,,
TCE15-1722,CB-FINE,5/21/2019,1957 DARRYL DR,Parcel ID,Private Property Code Enforcement,,
TCE15-1723,CB-FINE,5/21/2019,1957 DARRYL DR,Parcel ID,Private Property Code Enforcement,,
TCE15-1384,AE-C-PAID,   05/21/2019,1957 DARRYL DR,Parcel ID,Private Property Code Enforcement,,
TCE10-4802,COMP-FINE,5/21/2019,1971 NICKLAUS DR,Parcel ID,Private Property Code Enforcement,,
TCE10-4547,COMP-FINE,5/21/2019,2017 HILLSBOROUGH  ST,Parcel ID,Private Property Code Enforcement,,
TCE190195,  CM-FINE,1/9/2019,213 AMERICANA ST,Parcel ID,Private Property Code Enforcement,Maintenance,
TCE04-0740,COMP-FINE,5/21/2019,2332 SAINT MARKS ST,Parcel ID,Private Property Code Enforcement,,
TCE190252,  APPROVED, 01/15/2019,3109 APALACHEE PKWY,Parcel ID,Stormwater Code Enforcement,,
TCE10-0679,COMP-FINE,5/21/2019,315 AMERICANA ST,Parcel ID,Private Property Code Enforcement,,
TCE183278,CB-FINE,8/10/2018,815 WAILES ST,Parcel ID,,,
TCE184685,  AE-C-PAID,   11/20/2018,4435 BAY SHORE CIR,Parcel ID  110250 CE0090,Private Property Code Enforcement,,
TCE16-4211, CB-FINE,5/21/2019,2902 SHAMROCK   S,Parcel ID  110250 EE0080,Private Property Code Enforcement,,
TCE184877,  APPROVED, 12/18/2018,,Parcel ID  110836  0002,Stormwater Code Enforcement,Operation and Maintenance of SWMF,
TCE03-3300,COMP-FINE,5/21/2019,2977 RAYMOND DIEHL RD ,Parcel ID  1109200360000,Private Property Code Enforcement,,
TCE10-1668,COMP-FINE,5/21/2019,2977 RAYMOND DIEHL RD ,Parcel ID  1109200360000,Private Property Code Enforcement,,
TCE09-0811,COMP-FINE,5/21/2019,2979 RAYMOND DIEHL RD ,Parcel ID  1109200360000,Private Property Code Enforcement,,
TCE16-4686,COMP-FINE,5/21/2019,3205 BALDWIN DR  W,Parcel ID  111025 D0210,Private Property Code Enforcement,,
TCE10-5726,CM-FINE,5/21/2019,Address /,Parcel ID  112060 A0180,,,
TCE190293,  APPROVED, 01/18/2019,,Parcel ID  112105 A0020,Stormwater Code Enforcement,Operation and Maintenance of SWMF,
TCE17-2169,CB-FINE,5/21/2019,5450 BUCK LAKE  RD,Parcel ID  1124204110000,Private Property Code Enforcement,,
TCE190449,  DENIED, 01/25/2019,,Parcel ID  112715  0001,Stormwater Code Enforcement,Operation and Maintenance of SWMF,
TCE190441,  APPROVED, 01/25/2019,,Parcel ID  1127202030000,Stormwater Code Enforcement,Operation and Maintenance of SWMF,
TCE190442,  APPROVED, 01/25/2019,,Parcel ID  1127202040000,Stormwater Code Enforcement,Operation and Maintenance of SWMF,
TCE190451,  APPROVED, 01/25/2019,,Parcel ID  1127202160000,Stormwater Code Enforcement,Operation and Maintenance of SWMF,
TCE190450,  APPROVED, 01/25/2019,,Parcel ID  1127202340020,Stormwater Code Enforcement,Operation and Maintenance of SWMF,
TCE190452,  APPROVED, 01/25/2019,,Parcel ID  1127202370000,Stormwater Code Enforcement,Bldg 1,Parcel ID
TCE190444,  DENIED, 01/25/2019,,Parcel ID  1127202400000,Stormwater Code Enforcement,Operation and Maintenance of SWMF,
TCE16-5149,CB-FINE,5/21/2019,,Parcel ID  112722  0001,Private Property Code Enforcement,,
TCE190480,  NOV,  01/29/2019,,Parcel ID  1128200360010,Stormwater Code Enforcement,Operation and Maintenance of SWMF,
TCE09-1352,COMP-FINE,5/21/2019,918 CARRAWAY ST,Parcel ID  112940 F0100,Private Property Code Enforcement,,
TCE181948,  APPROVED, 05/22/2018,,Parcel ID  113003  0001,Stormwater Code Enforcement,Bldg 2,Parcel ID
TCE184684,  HOLD,11/19/2018,,Parcel ID  113004  0001,Environmental Code Enforcement,Maintenance Requirements,
TCE08-3153,COMP-FINE,5/21/2019,,Parcel ID  113119  0001,Private Property Code Enforcement,Bldg 3,Parcel ID
TCE10-0532,CB-FINE,5/21/2019,137 N   MERIDIAN  ST,Parcel ID  1131202110000,Private Property Code Enforcement,,
TCE10-4121,CB-FINE,5/21/2019,137 N   MERIDIAN  ST,Parcel ID  1131202110000,Private Property Code Enforcement,,
TCE190493,  APPROVED, 01/29/2019,,Parcel ID  1131204660000,Stormwater Code Enforcement,Operation and Maintenance of SWMF,
TCE182043,  HOLD,5/29/2018,509 PARK AVE E,Parcel ID  113130 F0090,Private Property Code Enforcement,Exterior Structure,
TCE183004,  VCN,  07/27/2018,520 E   COLLEGE AVE,Parcel ID  113132 G0050,Private Property Code Enforcement,Exterior Structure,
TCE11-3686,COMP-FINE,5/21/2019,627 GUNTER ST,Parcel ID  1131700060010,Private Property Code Enforcement,,
TCE14-2415,COMP-FINE,5/21/2019,627 GUNTER ST,Parcel ID  1131700060010,Private Property Code Enforcement,,
TCE08-3491,COMP-FINE,7/12/2019,,Parcel ID  113312  0001,Private Property Code Enforcement,Bldg 4,Parcel ID
TCE15-0537,AE-C-PAID,   05/21/2019,159 DAWN LAUREN  LN,Parcel ID  113316  A0270,Private Property Code Enforcement,,
TCE11-1576, CM-FINE,5/21/2019,,Parcel ID  113317 F0030,Private Property Code Enforcement,,
TCE190226,  RESOLVED, 01/14/2019,,Parcel ID  113317 I0040,Sign Code Enforcement,,
TCE08-3647,COMP-FINE,5/21/2019,,Parcel ID  1133170020001,Private Property Code Enforcement,,
TCE02-2864,CB-FINE,5/21/2019,2542 ARTHURS COURT LN,Parcel ID  113350 L0430,Private Property Code Enforcement,,
TCE190466,  APPROVED, 01/28/2019,,Parcel ID  113367 A0080,Stormwater Code Enforcement,Operation and Maintenance of SWMF,
TCE190340,  APPROVED, 01/18/2019,,Parcel ID  1134208520000,Stormwater Code Enforcement,Bldg 6,Parcel ID
TCE190338,  APPROVED, 01/18/2019,,Parcel ID  1134208520000,Stormwater Code Enforcement,,
TCE181285, COMP-FINE,4/6/2018,5661 BRAVEHEART WAY,Parcel ID  113628 B0050,Private Property Code Enforcement,,
TCE190501,  APPROVED, 01/30/2019,,Parcel ID  1434200060000,Stormwater Code Enforcement,Operation and Maintenance of SWMF,
TCE03-2049,COMP-FINE,5/21/2019,,Parcel ID  2113201090000,Private Property Code Enforcement,Bldg 7,Parcel ID
TCE17-2941,CM-FINE,5/21/2019,,Parcel ID  211525  0001,Private Property Code Enforcement,,
TCE15-4790,COMP-FINE,5/21/2019,,Parcel ID  2116206140000,Private Property Code Enforcement,,
TCE03-0274,CB-FINE,5/21/2019,,Parcel ID  2117510001245,Private Property Code Enforcement,,
TCE184670,  CM-FINE,11/15/2018,,Parcel ID  211942  0001,Private Property Code Enforcement,Maintenance,
TCE181726,CB-FINE,5/4/2018,2315 NANNAS LOOP,Parcel ID  212104 E0080,,,
TCE11-2029, AE-C-PAID,   05/21/2019,,Parcel ID  212105 B0080,Private Property Code Enforcement,Bldg 10,
TCE16-1013,CM-FINE,5/21/2019,,Parcel ID  212127  0001,Private Property Code Enforcement,,
TCE184862, COMP-FINE,12/14/2018,2189 PARROT LN,Parcel ID  2121860000830,Private Property Code Enforcement,,
TCE16-0572,CM-FINE,5/21/2019,2318 SAN MATEO CT,Parcel ID  2122180000050,Private Property Code Enforcement,,
TCE180780,  CB-HEAR,    03/14/2018,1814 MEDART DR ,Parcel ID  212270 D0090,Private Property Code Enforcement,Exterior Structure,
TCE16-0832,CB-FINE,5/21/2019,2403 HIDEAWAY CT,Parcel ID  2122740000230,Private Property Code Enforcement,,
TCE181452, MOW-FINE,  04/16/2018,2403 HIDEAWAY CT,Parcel ID  2122740000230,Private Property Code Enforcement,,
TCE16-2173,COMP-FINE,5/21/2019,2465 TALCO HILLS  DR,Parcel ID  212280  B0100,Private Property Code Enforcement,,
