21-000177,"Substandard Structure, unsafe structure, occupied without an act Active",4/5/2021,505  Faulk St,505,Faulk
21-000178,"Tall Grass, Weeds and Vegetation                                                          Active",4/5/2021,710 E Scott St,710,Scott
21-000179,"Tall Grass, Weeds and Vegetation                                                          Active",4/5/2021,718 W Scott Street,718,Scott
21-000180,"Public Nuisance accumulated metal, wood, trash and debris.          Active",4/5/2021,607 W Corsicana St,607,Corsicana
21-000182,Substandard Structure unsafe structure in dilapidated condition    Active,4/6/2021,407 N Maple St,407,Maple
21-000185,"Tall Grass, Weeds and Vegetation                                                          Active",4/6/2021,526 W Tyler St,526,Tyler
21-000189,"Tall Grass, Weeds and Vegetation                                                          Active",4/6/2021,0000  Bayshore Dr,0,Bayshore
21-000190,"Tall Grass, Weeds and Vegetation                                                          Active",4/6/2021,701  Stirman St,701,Stirman
21-000191,"Public Nuisance accumulated metal, wood, trash and debris.          Active",4/7/2021,417  Maple St,417,Maple
21-000192,"Junked Vehicle stored at location, not in working condition and o Active",4/7/2021,417  Maple St,417,Maple
21-000193,"Zoning - General,  RV trailer occupied as a dwelling.                          Active",4/7/2021,1600 N Palestine St,1600,Palestine
21-000194,Public Nuisance discarded appliance in front of RV trailer                Active,4/7/2021,1600 N Palestine St,1600,Palestine
21-000196,"Fence, privacy fence is in disrepair and must be repaired to shield Active",4/7/2021,609 W Tyler St,609,Tyler
21-000197,"Tall Grass, Weeds and Vegetation                                                          Active",4/7/2021,503 W Corsicana St,503,Corsicana
21-000198,"Tall Grass, Weeds and Vegetation                                                          Active",4/7/2021,0000 W Tyler St,0,Tyler
21-000202,"Tall Grass, Weeds and Vegetation                                                          Active",4/8/2021,5455  FM 2495,5455,FM 2495
21-000204,"Tall Grass, Weeds and Vegetation                                                          Active",4/8/2021,300  Frizzell St,300,Frizzell
21-000205,"Tall Grass, Weeds and Vegetation                                                          Active",4/8/2021,613 E  Corsicana,613,Corsicana
21-000206,"Tall Grass, Weeds and Vegetation                                                          Active",4/8/2021,810 S Palestine St,810,Palestine
21-000210,"Public Nuisance accumulated trash, debris, discarded furniture ta Active",4/8/2021,102   Rosedale,102,Rosedale
21-000211,"Tall Grass, Weeds and Vegetation                                                          Active",4/8/2021,301 W College St,301,College
21-000212,"Tall Grass, Weeds and Vegetation                                                          Active",4/8/2021,105  Linda Ln,105,Linda
21-000214,Public Nuisance discarded mattress and rubbish                                Active,4/8/2021,806 W College St,806,Collage
21-000215,Public Nuisance discarded furniture and doors                                   Active,4/8/2021,716  Bunny Rabbit Rd,716,Bunny Rabbit
21-000221,"Public Nuisance accumulated metal, wood, trash and debris.          Active",4/12/2021,402 S Carroll St,402,Carroll
21-000222,"Public Nuisance accumulated metal, wood, trash and debris.          Active",4/12/2021,411 E College St,411,College
21-000224,"Tall Grass, Weeds and Vegetation                                                          Active",4/13/2021,805 E Tyler St,805,Tyler
21-000225,"Public Nuisance accumulated metal, wood, trash and debris.          Active",4/13/2021,1007  Stoneleigh St,1007,Stoneleigh
21-000233,"Tall Grass, Weeds and Vegetation                                                          Active",4/21/2021,0000  W Larkin @ N Pinkerton St,0,Larkin
21-000234,"Public Nuisance accumulated metal, wood, trash and debris.          Active",4/13/2021,615 N Pinkerton St,615,Pinkerton
